,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,best_described_by
20,1,CL:35435,"['INTS13', 'INTS10', 'INTS14']",0.42857142857142855,4.8269796417262896e-05,22,Integrator complex
21,1,CL:35225,"['INTS13', 'INTS10', 'INTS14']",0.42857142857142855,0.010647950373975229,136,"mixed, incl. Integrator complex, and Melanoma-associated antigen"
22,1,CL:35431,"['INTS13', 'INTS10', 'INTS14']",0.42857142857142855,0.00016798655241656682,33,"Integrator complex, and SOSS complex"
23,1,CL:35224,"['INTS13', 'INTS10', 'INTS14']",0.42857142857142855,0.01372598467800657,149,"mixed, incl. Integrator complex, and Melanoma-associated antigen"
24,1,CL:35223,"['INTS13', 'INTS10', 'INTS14']",0.42857142857142855,0.023388493224222293,181,"mixed, incl. Integrator complex, and Melanoma-associated antigen"
25,1,CL:35222,"['INTS13', 'INTS10', 'INTS14']",0.42857142857142855,0.038459207561275764,218,"mostly uncharacterized, incl. Integrator complex, and Melanoma-associated antigen"
26,1,CL:35439,"['INTS13', 'INTS10', 'INTS14']",0.42857142857142855,1.1557891152536904e-05,14,Integrator complex
27,1,CL:35457,"['INTS13', 'INTS10', 'INTS14']",0.42857142857142855,3.221700809515372e-07,5,Integrator complex
28,4,CL:11332,"['BCS1L', 'COA5', 'COX17', 'COX11', 'COX19', 'COX15', 'COA3', 'SCO2', 'SCO1']",0.13636363636363635,3.4680167014976733e-09,19,Respiratory chain complex IV assembly
29,4,CL:11330,"['BCS1L', 'COA7', 'COA5', 'COX17', 'COX11', 'COX19', 'COX15', 'COA3', 'SCO2', 'SCO1']",0.15151515151515152,2.0243606448552224e-09,24,"Respiratory chain complex IV assembly, and Mitochondrial splicing suppressor 51-like, C-terminal domain"
30,4,CL:11065,"['COX4I1', 'BCS1L', 'CYC1', 'COX6C', 'COA7', 'COX6B1', 'COA5', 'UQCRQ', 'COX17', 'COX11', 'UQCRB', 'COX19', 'CYCS', 'COX15', 'COA3', 'SCO2', 'UQCRC2', 'SCO1']",0.2727272727272727,4.4540117954235425e-06,160,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins., and Cytochrome complex"
31,4,CL:11347,"['COX19', 'COX17', 'COX11', 'SCO1']",0.06060606060606061,6.951009385880441e-06,5,"Cysteine alpha-hairpin motif superfamily, and Copper chaperone SCO1/SenC"
32,4,CL:11334,"['BCS1L', 'COA5', 'COX17', 'COX11', 'COX19', 'COX15', 'SCO2', 'SCO1']",0.12121212121212122,7.043820027605122e-10,12,Respiratory chain complex IV assembly
33,4,CL:1386,"['TWNK', 'TFAM', 'MTERF3', 'TEFM', 'SSBP1', 'POLRMT']",0.09090909090909091,1.2161809406851046e-06,12,"Mitochondrial transcription, and Ribonuclease H domain"
34,4,CL:11063,"['COX4I1', 'BCS1L', 'CYC1', 'COX6C', 'COA7', 'COX6B1', 'COA5', 'UQCRQ', 'COX17', 'COX11', 'UQCRB', 'COX19', 'CYCS', 'COX15', 'COA3', 'SCO2', 'UQCRC2', 'SCO1']",0.2727272727272727,9.921521569262938e-06,169,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins., and Cytochrome complex"
35,4,CL:11052,"['PDSS1', 'CYC1', 'SLC25A26', 'PDSS2', 'COA5', 'CYCS', 'SCO2', 'UQCRC2', 'SCO1', 'SLC25A10', 'COA7', 'COX6B1', 'UQCRQ', 'COX11', 'UQCRB', 'HMBS', 'TIMM8B', 'SDHAF4', 'COX6C', 'COX17', 'COX15', 'COX4I1', 'BCS1L', 'RTN4IP1', 'COX19', 'COQ3', 'COA3', 'COQ4', 'COQ6']",0.4393939393939394,0.0003046305515680006,455,"Mitochondrial inner membrane, and Iron-sulfur cluster assembly"
36,4,CL:11053,"['PDSS1', 'CYC1', 'PDSS2', 'COA5', 'CYCS', 'SCO2', 'UQCRC2', 'SCO1', 'COA7', 'COX6B1', 'UQCRQ', 'COX11', 'UQCRB', 'HMBS', 'TIMM8B', 'SDHAF4', 'COX6C', 'COX17', 'COX15', 'COX4I1', 'BCS1L', 'RTN4IP1', 'COX19', 'COQ3', 'COA3', 'COQ4', 'COQ6']",0.4090909090909091,0.000629370983629848,426,"Mitochondrial inner membrane, and Iron-sulfur cluster assembly"
37,4,CL:11054,"['PDSS1', 'CYC1', 'PDSS2', 'COA5', 'CYCS', 'SCO2', 'UQCRC2', 'SCO1', 'COA7', 'COX6B1', 'UQCRQ', 'COX11', 'UQCRB', 'HMBS', 'TIMM8B', 'SDHAF4', 'COX6C', 'COX17', 'COX15', 'COX4I1', 'BCS1L', 'RTN4IP1', 'COX19', 'COQ3', 'COA3', 'COQ4', 'COQ6']",0.4090909090909091,0.0005145238176502861,421,"Mitochondrial inner membrane, and Iron-sulfur cluster assembly"
38,4,CL:11055,"['PDSS1', 'CYC1', 'PDSS2', 'COA5', 'CYCS', 'SCO2', 'UQCRC2', 'SCO1', 'COA7', 'COX6B1', 'UQCRQ', 'COX11', 'UQCRB', 'HMBS', 'TIMM8B', 'SDHAF4', 'COX6C', 'COX17', 'COX15', 'COX4I1', 'BCS1L', 'RTN4IP1', 'COX19', 'COQ3', 'COA3', 'COQ4', 'COQ6']",0.4090909090909091,0.000250796056693369,404,"mixed, incl. Inner mitochondrial membrane protein complex, and Mitochondrion organization"
39,4,CL:11664,"['PDSS1', 'PDSS2', 'COQ3', 'COQ4', 'COQ6']",0.07575757575757576,0.0020923202828462177,27,"Quinone biosynthetic process, and Prenylation"
40,4,CL:11056,"['PDSS1', 'CYC1', 'PDSS2', 'COA5', 'CYCS', 'SCO2', 'UQCRC2', 'SCO1', 'COA7', 'COX6B1', 'UQCRQ', 'COX11', 'UQCRB', 'TIMM8B', 'SDHAF4', 'COX6C', 'COX17', 'COX15', 'COX4I1', 'BCS1L', 'RTN4IP1', 'COX19', 'COQ3', 'COA3', 'COQ4', 'COQ6']",0.3939393939393939,1.9510665873606936e-05,331,"mixed, incl. Inner mitochondrial membrane protein complex, and Mitochondrial respiratory chain complex assembly"
41,4,CL:11672,"['COQ3', 'COQ6']",0.030303030303030304,0.011490147828451763,5,Ubiquinone biosynthesis complex
42,4,CL:11669,"['PDSS1', 'PDSS2', 'COQ3', 'COQ4', 'COQ6']",0.07575757575757576,1.8601789062284096e-05,11,Ubiquinone biosynthesis
43,4,CL:11665,"['PDSS1', 'PDSS2', 'COQ3', 'COQ4', 'COQ6']",0.07575757575757576,0.00021113691398129799,17,Quinone biosynthetic process
44,4,CL:11057,"['CYC1', 'COA5', 'CYCS', 'SCO2', 'UQCRC2', 'SCO1', 'COA7', 'COX6B1', 'UQCRQ', 'COX11', 'UQCRB', 'TIMM8B', 'SDHAF4', 'COX6C', 'COX17', 'COX15', 'COX4I1', 'BCS1L', 'RTN4IP1', 'COX19', 'COA3']",0.3181818181818182,0.001100622905747752,304,"Inner mitochondrial membrane protein complex, and Mitochondrial respiratory chain complex assembly"
45,4,CL:11059,"['CYC1', 'COA5', 'CYCS', 'SCO2', 'UQCRC2', 'SCO1', 'COA7', 'COX6B1', 'UQCRQ', 'COX11', 'UQCRB', 'TIMM8B', 'SDHAF4', 'COX6C', 'COX17', 'COX15', 'COX4I1', 'BCS1L', 'RTN4IP1', 'COX19', 'COA3']",0.3181818181818182,0.0006030930761781566,291,"Inner mitochondrial membrane protein complex, and Mitochondrial respiratory chain complex assembly"
46,4,CL:11336,"['SCO2', 'COX15']",0.030303030303030304,0.011490147828451763,5,"Heme a metabolic process, and NARP syndrome"
47,4,CL:11070,"['COX4I1', 'CYC1', 'COX6C', 'UQCRQ', 'COX6B1', 'UQCRB', 'CYCS', 'UQCRC2']",0.12121212121212122,0.018722272994389232,97,"Respiratory chain complex, and Complex I biogenesis"
48,4,CL:1389,"['MTERF3', 'TEFM', 'POLRMT', 'TFAM']",0.06060606060606061,2.029822881888716e-05,6,"Transcription from mitochondrial promoters, and Helix-hairpin-helix motif"
49,4,CL:11166,"['COX4I1', 'COX6C', 'UQCRQ', 'COX6B1', 'UQCRB', 'UQCRC2']",0.09090909090909091,0.00020484542143977663,26,Cytochrome complex
50,4,CL:11193,"['COX4I1', 'COX6B1', 'COX6C']",0.045454545454545456,0.007387764129049536,12,"Mitochondrial electron transport, cytochrome c to oxygen"
51,4,CL:802,"['WARS2', 'LARS2', 'VARS2', 'PARS2', 'EARS2']",0.07575757575757576,4.90349713960496e-05,13,"Aminoacyl-tRNA synthetase, class I, conserved site, and tRNA-binding domain"
52,4,CL:818,"['VARS2', 'WARS2']",0.030303030303030304,0.011490147828451763,5,"tRNA synthetases class I (W and Y), and Valine-tRNA ligase"
53,4,CL:801,"['WARS2', 'LARS2', 'VARS2', 'PARS2', 'EARS2', 'TARS2']",0.09090909090909091,4.0782997147661076e-05,20,Aminoacyl-tRNA synthetase
54,4,CL:799,"['WARS2', 'LARS2', 'VARS2', 'PARS2', 'EARS2', 'TARS2']",0.09090909090909091,0.0006819402801825267,32,tRNA Aminoacylation
55,4,CL:795,"['WARS2', 'LARS2', 'VARS2', 'PARS2', 'QRSL1', 'EARS2', 'TARS2']",0.10606060606060606,0.0011661744411045865,48,"tRNA Aminoacylation, and glutamyl-tRNA(Gln) amidotransferase complex"
56,4,CL:797,"['WARS2', 'LARS2', 'VARS2', 'PARS2', 'QRSL1', 'EARS2', 'TARS2']",0.10606060606060606,0.0005057954032485483,42,tRNA Aminoacylation
57,4,CL:11061,"['CYC1', 'COA5', 'CYCS', 'SCO2', 'UQCRC2', 'SCO1', 'COA7', 'COX6B1', 'UQCRQ', 'COX11', 'UQCRB', 'SDHAF4', 'COX6C', 'COX17', 'COX15', 'COX4I1', 'BCS1L', 'COX19', 'COA3']",0.2878787878787879,5.954655278232747e-06,180,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins., and Cytochrome complex"
58,4,CL:1385,"['TWNK', 'TFAM', 'MTERF3', 'TEFM', 'LRPPRC', 'SSBP1', 'POLRMT']",0.10606060606060606,3.936237117223273e-06,21,"mixed, incl. Mitochondrial transcription, and RAP domain"
59,4,CL:1384,"['TWNK', 'TFAM', 'MTERF3', 'TEFM', 'LRPPRC', 'SSBP1', 'POLRMT']",0.10606060606060606,2.5389743045661875e-05,27,"Mitochondrial RNA metabolic process, and Regulation of mitochondrial RNA catabolic process"
60,4,CL:11167,"['UQCRQ', 'UQCRC2', 'UQCRB']",0.045454545454545456,0.009363625301031263,13,"Respiratory chain complex III, and Cytochrome-c oxidase activity"
61,4,CL:11170,"['UQCRQ', 'UQCRC2']",0.030303030303030304,0.023047539573872473,7,Respiratory chain complex III
62,4,CL:11074,"['COX4I1', 'CYC1', 'COX6C', 'UQCRQ', 'COX6B1', 'UQCRB', 'CYCS', 'UQCRC2']",0.12121212121212122,0.005188221472985776,78,Respiratory chain complex
63,4,CL:11060,"['CYC1', 'COA5', 'CYCS', 'SCO2', 'UQCRC2', 'SCO1', 'COA7', 'COX6B1', 'UQCRQ', 'COX11', 'UQCRB', 'TIMM8B', 'SDHAF4', 'COX6C', 'COX17', 'COX15', 'COX4I1', 'BCS1L', 'COX19', 'COA3']",0.30303030303030304,0.0011810908132306942,284,"Inner mitochondrial membrane protein complex, and Mitochondrial respiratory chain complex assembly"
64,4,CL:11077,"['COX4I1', 'CYC1', 'COX6C', 'UQCRQ', 'COX6B1', 'UQCRB', 'CYCS', 'UQCRC2']",0.12121212121212122,0.003424915405056252,73,Respiratory chain complex
65,5,CL:7613,"['DPH6', 'DPH5', 'DPH2', 'DPH1']",0.6666666666666666,1.1373449348745349e-07,19,"tRNA wobble uridine modification, and Peptidyl-diphthamide metabolic process"
66,5,CL:7638,"['DPH6', 'DPH5', 'DPH2', 'DPH1']",0.6666666666666666,1.4849733451539187e-10,5,Peptidyl-diphthamide metabolic process
67,5,CL:7667,['DNAJC24'],0.16666666666666666,0.01598263140710507,5,"mixed, incl. GMP binding, and Meesmann corneal dystrophy"
68,5,CL:7651,['DNAJC24'],0.16666666666666666,0.04111183873481002,13,"mostly uncharacterized, incl. GMP binding, and UPF0606 protein KIAA1549"
69,5,CL:7611,"['DPH5', 'DPH2', 'DNAJC24', 'DPH6', 'DPH1']",0.8333333333333334,7.341737173376389e-08,51,"mixed, incl. tRNA wobble uridine modification, and tRNA threonylcarbamoyladenosine metabolic process"
70,5,CL:7612,"['DPH5', 'DPH2', 'DNAJC24', 'DPH6', 'DPH1']",0.8333333333333334,1.0220208293488724e-08,35,"mixed, incl. tRNA wobble uridine modification, and Peptidyl-diphthamide metabolic process"
71,6,CL:5167,"['PHF12', 'SIN3B', 'GATAD1']",0.6,2.0865174432259118e-05,25,"Sin3 complex, and Histone H4 deacetylation"
72,6,CL:5169,"['PHF12', 'SIN3B', 'GATAD1']",0.6,1.0383881590220422e-05,20,Sin3 complex
73,6,CL:5199,"['PHF12', 'GATAD1']",0.4,5.722367160936037e-05,5,"mixed, incl. Negative regulation of deacetylase activity, and MRG domain"
74,6,CL:5166,"['PHF12', 'SIN3B', 'GATAD1']",0.6,8.854193548445362e-05,40,"Sin3 complex, and NuRD complex"
75,6,CL:4757,"['PHF12', 'SIN3B', 'GATAD1']",0.6,0.020605316019276895,256,"DNA packaging complex, and Histone deacetylase complex"
76,6,CL:5165,"['PHF12', 'SIN3B', 'GATAD1']",0.6,0.0001961195289297827,52,"Histone deacetylase complex, and Protein of unknown function DUF3504"
77,6,CL:4756,"['PHF12', 'SIN3B', 'GATAD1']",0.6,0.02564177250880959,277,"DNA packaging complex, and Histone deacetylase complex"
78,6,CL:4755,"['PHF12', 'SIN3B', 'GATAD1']",0.6,0.031933051471271526,300,"mixed, incl. DNA packaging complex, and Histone deacetylase complex"
79,6,CL:7085,['SLF1'],0.2,0.03176025086121679,12,"Smc5-Smc6 complex, and Mulchandani-Bhoj-Conlin syndrome"
80,6,CL:5174,['SIN3B'],0.2,0.01598263140710507,6,"mixed, incl. Fungiform papilla formation, and Autosome"
81,6,CL:5171,['SIN3B'],0.2,0.03697424149094729,14,Sin3 complex
82,8,CL:2516,"['CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.6666666666666666,1.889822169309652e-10,24,"Nonsense-mediated mRNA decay, and ASAP complex"
83,8,CL:2016,"['XRN1', 'CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.7777777777777778,0.01766360758508541,706,"mRNA metabolic process, and Nuclear transport"
84,8,CL:2017,"['XRN1', 'CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.7777777777777778,0.01483528127907566,686,"mRNA metabolic process, and Nuclear transport"
85,8,CL:2018,"['XRN1', 'CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.7777777777777778,0.009782165479599838,641,"mRNA metabolic process, and Nuclear transport"
86,8,CL:2019,"['XRN1', 'CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.7777777777777778,0.006620586409995291,602,"mRNA metabolic process, and Nuclear transport"
87,8,CL:2020,"['XRN1', 'CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.7777777777777778,0.006153056575423766,595,"mRNA metabolic process, and Nuclear transport"
88,8,CL:2021,"['XRN1', 'CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.7777777777777778,0.0045938628536601024,568,"Processing of Capped Intron-Containing Pre-mRNA, and mRNA metabolic process"
89,8,CL:2978,['XRN1'],0.1111111111111111,0.028614949842905024,6,mRNA decay by 5 to 3 exoribonuclease
90,8,CL:8690,['SRR'],0.1111111111111111,0.03799019374450962,8,"Tryptophan synthase beta chain-like, PALP domain superfamily, and Serine biosynthesis"
91,8,CL:2022,"['CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.6666666666666666,0.00811405903832925,450,"Processing of Capped Intron-Containing Pre-mRNA, and mRNA metabolic process"
92,8,CL:2517,"['UPF2', 'CASC3']",0.2222222222222222,0.0021004559505432598,15,"Exon-exon junction complex, and ASAP complex"
93,8,CL:2520,"['UPF2', 'CASC3']",0.2222222222222222,0.0005700392062085409,8,Exon-exon junction complex
94,8,CL:2027,"['CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.6666666666666666,0.0005180552325591317,272,"mRNA Splicing, and Nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
95,8,CL:2024,"['CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.6666666666666666,0.0068674599960998565,436,"Processing of Capped Intron-Containing Pre-mRNA, and mRNA metabolic process"
96,8,CL:2025,"['CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.6666666666666666,0.0035304386287942076,385,"Processing of Capped Intron-Containing Pre-mRNA, and Nuclear transport"
97,8,CL:2026,"['CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.6666666666666666,0.0005739540290807094,277,"mRNA Splicing, and Nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
98,8,CL:2548,"['SMG8', 'SMG7', 'SMG1', 'SMG9']",0.4444444444444444,3.729280754146341e-09,6,"Est1/Ebs1-like, and Smg8_Smg9 "
99,8,CL:2023,"['CASC3', 'SMG1', 'SMG7', 'UPF2', 'SMG8', 'SMG9']",0.6666666666666666,0.007650259110206748,445,"Processing of Capped Intron-Containing Pre-mRNA, and mRNA metabolic process"
100,8,CL:34406,['TMEM79'],0.1111111111111111,0.023896943662973114,5,"Myelin P0 protein-related, and EVA1 domain"
101,22,CL:1293,['NSUN2'],0.05263157894736842,0.04991100024142066,5,16S rRNA methyltransferase RsmB/F
102,22,CL:32299,['SEC14L2'],0.05263157894736842,0.04991100024142066,5,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain"
103,22,CL:33679,['TMEM86A'],0.05263157894736842,0.04991100024142066,5,"mixed, incl. YhhN family, and Transmembrane protein GPR107/GPR108-like"
104,22,CL:17499,['INSR'],0.05263157894736842,0.04991100024142066,5,"IRS activation, and Protein-tyrosine phosphatase, non-receptor type-1/2"
105,23,CL:7614,"['URM1', 'CTU1', 'MOCS3', 'ELP4', 'ELP3', 'ELP2', 'ELP5', 'ELP1', 'KTI12', 'CTU2']",0.7692307692307693,1.3596854747495338e-22,12,tRNA wobble uridine modification
106,23,CL:28662,['DPM1'],0.07692307692307693,0.03437006150579571,5,"Defective DPM2 causes DPM2-CDG, and Congenital disorder of glycosylation Im"
107,23,CL:7611,"['URM1', 'CTU1', 'MOCS3', 'ELP4', 'ELP3', 'ELP2', 'ELP5', 'ELP1', 'KTI12', 'CTU2']",0.7692307692307693,2.4842718239288493e-14,51,"mixed, incl. tRNA wobble uridine modification, and tRNA threonylcarbamoyladenosine metabolic process"
108,23,CL:7616,"['ELP4', 'ELP3', 'ELP2', 'ELP5', 'ELP1']",0.38461538461538464,4.092227387128153e-11,6,Elongator holoenzyme complex
109,23,CL:7613,"['URM1', 'CTU1', 'MOCS3', 'ELP4', 'ELP3', 'ELP2', 'ELP5', 'ELP1', 'KTI12', 'CTU2']",0.7692307692307693,1.883580719429233e-19,19,"tRNA wobble uridine modification, and Peptidyl-diphthamide metabolic process"
110,23,CL:7628,"['CTU1', 'CTU2', 'URM1', 'MOCS3']",0.3076923076923077,7.057077743507396e-09,5,Protein urmylation
111,23,CL:7612,"['URM1', 'CTU1', 'MOCS3', 'ELP4', 'ELP3', 'ELP2', 'ELP5', 'ELP1', 'KTI12', 'CTU2']",0.7692307692307693,3.6554855510470635e-16,35,"mixed, incl. tRNA wobble uridine modification, and Peptidyl-diphthamide metabolic process"
112,25,CL:5738,"['MED15', 'MED19']",0.058823529411764705,0.04536578123668654,19,Core mediator complex
113,25,CL:5660,"['TADA1', 'TADA2B', 'MED13', 'MED12', 'TAF5L', 'SGF29', 'MED19', 'SUPT7L', 'TAF6L', 'MED15', 'CCNC', 'SUPT20H']",0.35294117647058826,0.0006011407657114154,239,"mixed, incl. DNA-directed RNA polymerase complex, and Positive regulation of DNA-templated transcription, elongation"
114,25,CL:6024,"['TADA1', 'TADA2B', 'TAF5L', 'SGF29', 'SUPT7L', 'TAF6L', 'SUPT20H']",0.20588235294117646,1.0613764976129542e-06,33,"SAGA-type complex, and TATA-box binding protein"
115,25,CL:5662,"['TADA1', 'TADA2B', 'MED13', 'MED12', 'TAF5L', 'SGF29', 'MED19', 'SUPT7L', 'TAF6L', 'MED15', 'CCNC', 'SUPT20H']",0.35294117647058826,0.0002391450175564084,217,"mixed, incl. DNA-directed RNA polymerase complex, and Positive regulation of transcription elongation from RNA polymerase II promoter"
116,25,CL:6031,"['TADA1', 'TADA2B', 'TAF5L', 'TAF6L', 'SUPT7L', 'SUPT20H']",0.17647058823529413,1.9700739827860335e-08,12,SAGA complex
117,25,CL:6029,"['TADA1', 'TADA2B', 'TAF5L', 'SGF29', 'SUPT7L', 'TAF6L', 'SUPT20H']",0.20588235294117646,1.4985471457390383e-08,19,SAGA complex
118,25,CL:6027,"['TADA1', 'TADA2B', 'TAF5L', 'SGF29', 'SUPT7L', 'TAF6L', 'SUPT20H']",0.20588235294117646,9.653540504581326e-08,24,SAGA complex
119,25,CL:6033,"['TADA1', 'SUPT7L', 'SUPT20H']",0.08823529411764706,5.388999178453269e-05,5,SAGA complex
120,25,CL:5737,"['MED12', 'MED15', 'MED19']",0.08823529411764706,0.008603018688541063,24,Core mediator complex
121,25,CL:5735,"['MED13', 'MED12', 'MED15', 'MED19']",0.11764705882352941,0.0015791569429464993,29,Core mediator complex
122,25,CL:5661,"['TADA1', 'TADA2B', 'MED13', 'MED12', 'TAF5L', 'SGF29', 'MED19', 'SUPT7L', 'TAF6L', 'MED15', 'CCNC', 'SUPT20H']",0.35294117647058826,0.00045414334517643594,232,"DNA-directed RNA polymerase complex, and Positive regulation of transcription elongation from RNA polymerase II promoter"
123,25,CL:5766,"['MED15', 'MED19']",0.058823529411764705,0.0031114541521196767,5,Core mediator complex
124,25,CL:5668,"['MED13', 'MED12', 'MED19', 'MED15', 'CCNC']",0.14705882352941177,0.005575165081674623,65,"Transcription initiation from RNA polymerase II promoter, and Transcription factor TFIIH core complex"
125,26,CL:33138,"['GIPC3', 'RNFT1']",0.045454545454545456,0.04692920724338942,15,"mixed, incl. RING finger protein RNF121/RNF175, and Mff-like domain"
126,26,CL:5660,"['TADA1', 'TADA2B', 'MED14', 'TADA3', 'MED13', 'MED12', 'TAF5L', 'SGF29', 'MED19', 'SUPT7L', 'TAF6L', 'TRRAP', 'CCNC', 'SUPT20H']",0.3181818181818182,0.0007106416418457917,239,"mixed, incl. DNA-directed RNA polymerase complex, and Positive regulation of DNA-templated transcription, elongation"
127,26,CL:5661,"['TADA1', 'TADA2B', 'MED14', 'TADA3', 'MED13', 'MED12', 'TAF5L', 'SGF29', 'MED19', 'SUPT7L', 'TAF6L', 'TRRAP', 'CCNC', 'SUPT20H']",0.3181818181818182,0.0005207850292770642,232,"DNA-directed RNA polymerase complex, and Positive regulation of transcription elongation from RNA polymerase II promoter"
128,26,CL:6024,"['TADA1', 'TADA2B', 'TADA3', 'TAF5L', 'SGF29', 'SUPT7L', 'TAF6L', 'TRRAP', 'SUPT20H']",0.20454545454545456,2.43110626340085e-08,33,"SAGA-type complex, and TATA-box binding protein"
129,26,CL:5662,"['TADA1', 'TADA2B', 'MED14', 'TADA3', 'MED13', 'MED12', 'TAF5L', 'SGF29', 'MED19', 'SUPT7L', 'TAF6L', 'TRRAP', 'CCNC', 'SUPT20H']",0.3181818181818182,0.00025506011780683193,217,"mixed, incl. DNA-directed RNA polymerase complex, and Positive regulation of transcription elongation from RNA polymerase II promoter"
130,26,CL:6045,"['TADA3', 'TADA2B']",0.045454545454545456,0.005190224002321387,5,SAGA complex
