,cluster,complex_corum,overlap_genes_corum,overlap_fraction_corum,raw_p_value_corum,complex_size_corum,complex_stringdb,overlap_genes_stringdb,overlap_fraction_stringdb,raw_p_value_stringdb,complex_size_stringdb,best_described_by,complex_kegg,overlap_genes_kegg,overlap_fraction_kegg,raw_p_value_kegg,complex_size_kegg,complex_reactome,overlap_genes_reactome,overlap_fraction_reactome,raw_p_value_reactome,complex_size_reactome,intracluster_corr,cluster_size,cluster_gene_size,cluster_member,related_cluster,rest_count,stim8hr_count,stim48hr_count,cluster_member_with_condition
10,20,"Elongator complex (ELP1, ELP2, ELP3, ELP4, ELP5, ELP6)","['ELP1', 'ELP4', 'ELP5', 'ELP3', 'ELP2']",0.38461538461538464,3.2171641500538047e-11,6.0,CL:7614,"['CTU1', 'ELP1', 'ELP2', 'ELP4', 'ELP3', 'URM1', 'ELP5', 'CTU2', 'KTI12', 'MOCS3']",0.7692307692307693,8.396617698702024e-23,12,tRNA wobble uridine modification,KEGG_N_GLYCAN_BIOSYNTHESIS,['DPM1'],0.07692307692307693,0.26645064264914614,46.0,REACTOME_HATS_ACETYLATE_HISTONES,"['ELP1', 'ELP4', 'ELP3', 'ELP5', 'ELP2']",0.38461538461538464,0.0014929156772797193,142,0.27819702206813945,34.0,13.0,"['CTU2', 'ELP4', 'MOCS3', 'ELP3', 'SLC39A6', 'ELP5', 'ELP1', 'URM1', 'DPM1', 'NR2C2AP', 'KTI12', 'ELP2', 'CTU1']",,12.0,13.0,9.0,"['CTU2_Stim8hr', 'ELP4_Stim8hr', 'MOCS3_Stim8hr', 'CTU2_Rest', 'ELP3_Stim8hr', 'SLC39A6_Stim8hr', 'ELP5_Stim8hr', 'ELP1_Stim8hr', 'ELP3_Rest', 'URM1_Stim8hr', 'SLC39A6_Stim48hr', 'ELP4_Stim48hr', 'DPM1_Rest', 'MOCS3_Rest', 'NR2C2AP_Stim8hr', 'ELP3_Stim48hr', 'KTI12_Rest', 'ELP2_Stim48hr', 'ELP2_Rest', 'ELP1_Stim48hr', 'NR2C2AP_Stim48hr', 'KTI12_Stim8hr', 'DPM1_Stim8hr', 'KTI12_Stim48hr', 'CTU1_Stim8hr', 'ELP2_Stim8hr', 'ELP1_Rest', 'ELP4_Rest', 'URM1_Rest', 'ELP5_Rest', 'CTU1_Rest', 'URM1_Stim48hr', 'ELP5_Stim48hr', 'SLC39A6_Rest']"
11,21,"55S ribosome, mitochondrial","['MRPL16', 'MRPS26', 'MRPS17', 'MRPL2', 'MRPL10', 'MRPS35', 'MRPS15', 'MRPS21', 'MRPL21', 'MRPL37', 'MRPL11', 'MRPL46', 'MRPS16', 'MRPS2', 'MRPL42', 'MRPL45', 'MRPS23']",0.2982456140350877,1.0764249209377902e-11,78.0,CL:566,"['MRPL16', 'MRPS26', 'MRPS17', 'MRPL2', 'MRPL10', 'MRPS35', 'MRPS15', 'MRPS21', 'MRPL21', 'MRPL37', 'MRPL11', 'MRPL46', 'MRPS16', 'MRPS2', 'MRPL42', 'MRPL45', 'MRPS23']",0.2982456140350877,8.58961203750313e-12,77,Organellar ribosome,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,"['VARS2', 'LARS2', 'PARS2', 'WARS2', 'TARS2']",0.08771929824561403,0.005872686282220964,41.0,REACTOME_MITOCHONDRIAL_TRANSLATION,"['MRPL16', 'MRPS26', 'MRPL10', 'MRPL2', 'MRPS17', 'MRPS16', 'MRPS35', 'MRPS15', 'MRPL21', 'MRPS21', 'MRPL11', 'MRPL46', 'TUFM', 'MRPL37', 'MRPS2', 'MRPL42', 'MRPL45', 'MRPS23']",0.3157894736842105,3.543102045278193e-11,96,0.2911197026249437,57.0,57.0,"['VARS2', 'TARS2', 'KAT14', 'LRPPRC', 'TWNK', 'COA3', 'UQCRB', 'MRPL11', 'MRPL37', 'MRPL16', 'TUFM', 'MRPS26', 'RCC1L', 'MRPS21', 'MRPS23', 'MRPL10', 'MRPS15', 'MRPL46', 'HCCS', 'COX4I1', 'CYC1', 'MRPL21', 'PNPT1', 'MRPS17', 'MRPL2', 'COA5', 'BCS1L', 'TIMM8B', 'MIPEP', 'UQCRQ', 'KIFAP3', 'POLRMT', 'LARS2', 'MRPL42', 'NPC2', 'COQ3', 'MRPL45', 'COX6C', 'MRPS2', 'PARS2', 'PDSS2', 'STXBP4', 'PKM', 'TFAM', 'SSBP1', 'HEXIM1', 'UMPS', 'HSD17B10', 'COX5A', 'HMBS', 'SCO2', 'COX11', 'MRPS16', 'WARS2', 'MRPS35', 'SLC25A10', 'MYCN']","{51, 71}",57.0,0.0,0.0,"['VARS2_Rest', 'TARS2_Rest', 'KAT14_Rest', 'LRPPRC_Rest', 'TWNK_Rest', 'COA3_Rest', 'UQCRB_Rest', 'MRPL11_Rest', 'MRPL37_Rest', 'MRPL16_Rest', 'TUFM_Rest', 'MRPS26_Rest', 'RCC1L_Rest', 'MRPS21_Rest', 'MRPS23_Rest', 'MRPL10_Rest', 'MRPS15_Rest', 'MRPL46_Rest', 'HCCS_Rest', 'COX4I1_Rest', 'CYC1_Rest', 'MRPL21_Rest', 'PNPT1_Rest', 'MRPS17_Rest', 'MRPL2_Rest', 'COA5_Rest', 'BCS1L_Rest', 'TIMM8B_Rest', 'MIPEP_Rest', 'UQCRQ_Rest', 'KIFAP3_Rest', 'POLRMT_Rest', 'LARS2_Rest', 'MRPL42_Rest', 'NPC2_Rest', 'COQ3_Rest', 'MRPL45_Rest', 'COX6C_Rest', 'MRPS2_Rest', 'PARS2_Rest', 'PDSS2_Rest', 'STXBP4_Rest', 'PKM_Rest', 'TFAM_Rest', 'SSBP1_Rest', 'HEXIM1_Rest', 'UMPS_Rest', 'HSD17B10_Rest', 'COX5A_Rest', 'HMBS_Rest', 'SCO2_Rest', 'COX11_Rest', 'MRPS16_Rest', 'WARS2_Rest', 'MRPS35_Rest', 'SLC25A10_Rest', 'MYCN_Rest']"
12,22,,,,,,CL:7638,"['DPH6', 'DPH5', 'DPH1']",0.5,1.5949365548580114e-07,5,Peptidyl-diphthamide metabolic process,,,,,,REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2,"['DPH6', 'DPH1', 'DNAJC24', 'DPH5']",0.6666666666666666,1.710687138311597e-09,8,0.29231722148745454,6.0,6.0,"['DPH6', 'DNAJC24', 'TPT1', 'TTC4', 'DPH1', 'DPH5']",{9},0.0,6.0,0.0,"['DPH6_Stim8hr', 'DNAJC24_Stim8hr', 'TPT1_Stim8hr', 'TTC4_Stim8hr', 'DPH1_Stim8hr', 'DPH5_Stim8hr']"
13,23,DMAP1-associated complex,"['BRD8', 'EPC1']",0.6666666666666666,7.019908634336469e-05,10.0,CL:5020,"['BRD8', 'EPC1']",0.6666666666666666,7.019908634336469e-05,10,Histone H2A acetylation,,,,,,REACTOME_HATS_ACETYLATE_HISTONES,"['BRD8', 'EPC1']",0.6666666666666666,0.014912793363570445,142,0.29588283086027134,9.0,3.0,"['EPC1', 'KIF20A', 'BRD8']",,3.0,3.0,3.0,"['EPC1_Stim48hr', 'KIF20A_Stim48hr', 'KIF20A_Rest', 'BRD8_Rest', 'EPC1_Stim8hr', 'EPC1_Rest', 'KIF20A_Stim8hr', 'BRD8_Stim8hr', 'BRD8_Stim48hr']"
14,24,ACLY homotetramer,['ACLY'],0.3333333333333333,0.0015313935681470138,1.0,CL:11025,"['PPCDC', 'PPCS']",0.6666666666666666,2.3431667704591368e-05,6,Coenzyme A biosynthesis,KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,"['PPCDC', 'PPCS']",0.6666666666666666,0.00018681389650066838,16.0,REACTOME_COENZYME_A_BIOSYNTHESIS,"['PPCDC', 'PPCS']",0.6666666666666666,3.279314449654681e-05,7,0.31170796403512135,5.0,3.0,"['PPCS', 'PPCDC', 'ACLY']",,2.0,3.0,0.0,"['PPCS_Rest', 'PPCS_Stim8hr', 'PPCDC_Rest', 'ACLY_Stim8hr', 'PPCDC_Stim8hr']"
15,25,ACLY homotetramer,['ACLY'],0.125,0.00408371618172537,1.0,CL:8466,"['DLAT', 'PDHB', 'PDHA1', 'ACLY', 'CS', 'MDH2']",0.75,1.1163520917300335e-08,56,"Citrate cycle (TCA cycle), and Pyruvate metabolism",KEGG_CITRATE_CYCLE_TCA_CYCLE,"['DLAT', 'PDHB', 'PDHA1', 'ACLY', 'CS', 'MDH2']",0.75,3.1831941434142865e-10,32.0,REACTOME_PDH_COMPLEX_SYNTHESIZES_ACETYL_COA_FROM_PYR,"['PDHA1', 'PDHB', 'DLAT']",0.375,8.900827083837146e-07,6,0.34847549137902517,8.0,8.0,"['SLC25A1', 'PDHB', 'MDH2', 'DLAT', 'PDHA1', 'CS', 'ACLY', 'STYXL1']",,0.0,0.0,8.0,"['SLC25A1_Stim48hr', 'PDHB_Stim48hr', 'MDH2_Stim48hr', 'DLAT_Stim48hr', 'PDHA1_Stim48hr', 'CS_Stim48hr', 'ACLY_Stim48hr', 'STYXL1_Stim48hr']"
16,26,Ragulator-Rag complex,"['LAMTOR4', 'LAMTOR3', 'LAMTOR5', 'RRAGA', 'RRAGC', 'LAMTOR2']",0.5,8.280932525625619e-14,7.0,CL:14569,"['LAMTOR4', 'LAMTOR3', 'LAMTOR5', 'RRAGA', 'FLCN', 'WDR59', 'RRAGC', 'LAMTOR2']",0.6666666666666666,2.796732776630937e-13,28,Amino acids regulate mTORC1,KEGG_MTOR_SIGNALING_PATHWAY,['RPTOR'],0.08333333333333333,0.2765733240038808,52.0,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,"['LAMTOR3', 'LAMTOR4', 'LAMTOR5', 'RRAGA', 'FLCN', 'WDR59', 'RPTOR', 'RRAGC', 'LAMTOR2']",0.75,1.1409069519240587e-12,55,0.3731484048201587,12.0,12.0,"['RRAGA', 'RPTOR', 'VPS35', 'FLCN', 'LAMTOR4', 'LAMTOR3', 'WDR59', 'TMEM214', 'VPS29', 'LAMTOR2', 'LAMTOR5', 'RRAGC']",{27},0.0,0.0,12.0,"['RRAGA_Stim48hr', 'RPTOR_Stim48hr', 'VPS35_Stim48hr', 'FLCN_Stim48hr', 'LAMTOR4_Stim48hr', 'LAMTOR3_Stim48hr', 'WDR59_Stim48hr', 'TMEM214_Stim48hr', 'VPS29_Stim48hr', 'LAMTOR2_Stim48hr', 'LAMTOR5_Stim48hr', 'RRAGC_Stim48hr']"
17,27,Ragulator-Rag complex,"['LAMTOR4', 'LAMTOR3', 'RRAGA', 'RRAGC', 'LAMTOR2']",0.4166666666666667,6.911539583990297e-11,7.0,CL:14569,"['LAMTOR3', 'LAMTOR4', 'RRAGA', 'WDR24', 'MIOS', 'WDR59', 'RRAGC', 'LAMTOR2']",0.6666666666666666,2.796732776630937e-13,28,Amino acids regulate mTORC1,KEGG_INSULIN_SIGNALING_PATHWAY,"['FOXO1', 'RPTOR']",0.16666666666666666,0.2027543333065276,137.0,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,"['LAMTOR3', 'LAMTOR4', 'RRAGA', 'WDR24', 'MIOS', 'WDR59', 'RPTOR', 'RRAGC', 'LAMTOR2']",0.75,1.1409069519240587e-12,55,0.31029784163007706,12.0,12.0,"['LAMTOR3', 'MIOS', 'WDR59', 'TMEM214', 'RPTOR', 'FOXO1', 'FOXK1', 'RRAGC', 'LAMTOR4', 'LAMTOR2', 'RRAGA', 'WDR24']",{26},0.0,12.0,0.0,"['LAMTOR3_Stim8hr', 'MIOS_Stim8hr', 'WDR59_Stim8hr', 'TMEM214_Stim8hr', 'RPTOR_Stim8hr', 'FOXO1_Stim8hr', 'FOXK1_Stim8hr', 'RRAGC_Stim8hr', 'LAMTOR4_Stim8hr', 'LAMTOR2_Stim8hr', 'RRAGA_Stim8hr', 'WDR24_Stim8hr']"
18,28,KEOPS complex,"['OSGEP', 'LAGE3']",0.10526315789473684,0.000528793774571497,4.0,CL:1270,"['ADAT3', 'TRMT61A', 'METTL1', 'ADAT2', 'TRMT6']",0.2631578947368421,2.2904722779727225e-06,25,"tRNA methylation, and MafB19-like deaminase",KEGG_PROTEIN_EXPORT,['OXA1L'],0.05263157894736842,0.20966549918932986,24.0,REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL,"['ADAT3', 'TRMT6', 'TRMT61A', 'METTL1', 'OSGEP', 'LAGE3', 'ADAT2']",0.3684210526315789,7.267074285718766e-08,44,0.2542384108386025,21.0,19.0,"['FAM98B', 'APEX1', 'SSB', 'RTRAF', 'WARS1', 'ALDH18A1', 'LAGE3', 'ADAT2', 'OXA1L', 'EIF1', 'ADAT3', 'SLC7A11', 'TRMT61A', 'ZNF703', 'CDC123', 'AIFM1', 'METTL1', 'OSGEP', 'TRMT6']","{40, 69}",3.0,18.0,0.0,"['FAM98B_Stim8hr', 'APEX1_Rest', 'SSB_Stim8hr', 'RTRAF_Stim8hr', 'WARS1_Stim8hr', 'ALDH18A1_Stim8hr', 'LAGE3_Stim8hr', 'ADAT2_Stim8hr', 'OXA1L_Stim8hr', 'EIF1_Stim8hr', 'ADAT3_Stim8hr', 'SLC7A11_Stim8hr', 'TRMT61A_Stim8hr', 'ZNF703_Stim8hr', 'CDC123_Stim8hr', 'AIFM1_Stim8hr', 'METTL1_Stim8hr', 'APEX1_Stim8hr', 'LAGE3_Rest', 'OSGEP_Rest', 'TRMT6_Stim8hr']"
19,29,TCR-CD3 complex,"['CD3E', 'CD247', 'CD3G', 'CD3D']",0.36363636363636365,8.04484458779998e-09,6.0,CL:15545,"['CD3E', 'CD247', 'CD3G', 'CD3D']",0.36363636363636365,8.04484458779998e-09,6,"Alpha-beta T cell receptor complex, and Pneumocystosis",KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,"['CD247', 'CD3G', 'LAT', 'VAV1', 'CD3D', 'ZAP70', 'CD3E', 'LCP2', 'PLCG1']",0.8181818181818182,1.7041872355532086e-10,108.0,REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,"['CD247', 'CD3G', 'LAT', 'CD3D', 'ZAP70', 'CD3E', 'LCP2', 'PLCG1']",0.7272727272727273,1.8342095633669195e-12,39,0.8157387236086278,11.0,11.0,"['PLCG1', 'CD247', 'LCP2', 'ZAP70', 'CD3G', 'VAV1', 'ZBED3', 'BCAT2', 'CD3D', 'CD3E', 'LAT']",{101},0.0,11.0,0.0,"['PLCG1_Stim8hr', 'CD247_Stim8hr', 'LCP2_Stim8hr', 'ZAP70_Stim8hr', 'CD3G_Stim8hr', 'VAV1_Stim8hr', 'ZBED3_Stim8hr', 'BCAT2_Stim8hr', 'CD3D_Stim8hr', 'CD3E_Stim8hr', 'LAT_Stim8hr']"
20,31,"ING5 (BRPF1, MOZ, MORF) complex","['KAT6A', 'BRPF1', 'ING5']",0.42857142857142855,2.788996227051975e-07,5.0,CL:5313,"['KAT6A', 'BRPF1', 'ING5']",0.42857142857142855,9.731543624441041e-07,7,H3 histone acetyltransferase complex,KEGG_P53_SIGNALING_PATHWAY,['COP1'],0.14285714285714285,0.2193940450342995,68.0,REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION,"['KAT6A', 'BRPF1', 'ING5']",0.42857142857142855,0.00010895244810866122,30,0.24020838563141436,7.0,7.0,"['KAT6A', 'COP1', 'ING5', 'BRPF1', 'DDA1', 'TMED9', 'TXNL1']",{36},7.0,0.0,0.0,"['KAT6A_Rest', 'COP1_Rest', 'ING5_Rest', 'BRPF1_Rest', 'DDA1_Rest', 'TMED9_Rest', 'TXNL1_Rest']"
21,32,MLL2 complex,"['PSIP1', 'MEN1']",0.3333333333333333,0.0003481333500535493,10.0,CL:4751,"['MEN1', 'BAHD1', 'PSIP1', 'H3-5', 'DOT1L']",0.8333333333333334,0.0014616067323633233,386,"Chromatin organization, and Structural constituent of chromatin",KEGG_LYSINE_DEGRADATION,['DOT1L'],0.16666666666666666,0.12757218520529842,44.0,REACTOME_FORMATION_OF_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES,"['PSIP1', 'MEN1']",0.3333333333333333,0.006375171249711758,42,0.22269901165591915,11.0,6.0,"['BAHD1', 'ARRDC4', 'MEN1', 'DOT1L', 'H3-5', 'PSIP1']",,4.0,5.0,2.0,"['BAHD1_Stim48hr', 'ARRDC4_Rest', 'MEN1_Stim8hr', 'DOT1L_Rest', 'H3-5_Stim8hr', 'ARRDC4_Stim8hr', 'PSIP1_Rest', 'PSIP1_Stim48hr', 'BAHD1_Stim8hr', 'PSIP1_Stim8hr', 'MEN1_Rest']"
22,34,DVL1-RYK complex,['DVL1'],0.017241379310344827,0.058351986927102646,2.0,CL:36274,['ZSCAN25'],0.017241379310344827,0.13965892015048245,5,"mixed, incl. Megasporocyte nucleus, and Cerebellar ataxia type 48",KEGG_CIRCADIAN_RHYTHM_MAMMAL,['NPAS2'],0.017241379310344827,0.3242438929918304,13.0,REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS,['DVL1'],0.017241379310344827,0.13965892015048245,5,0.21112465195740665,59.0,58.0,"['RARB', 'NPAS2', 'STAP1', 'KMT2C', 'DYNLT2B', 'ZC3H12A', 'CDCA3', 'AHSA1', 'RAB27B', 'PRXL2B', 'ETV2', 'SLC25A3', 'PHF3', 'TOPORS', 'LIN37', 'YPEL5', 'ERGIC3', 'BRD10', 'RBPJL', 'FOXS1', 'BRD1', 'EIF4B', 'ANKZF1', 'EI24', 'AIP', 'MTG2', 'DVL1', 'METRN', 'PARD6A', 'SPOP', 'PRCP', 'NSD1', 'RCN1', 'HIVEP3', 'ZBTB1', 'GGACT', 'ICOS', 'MAU2', 'INIP', 'HOXB13', 'DESI1', 'AP3D1', 'ZSCAN25', 'CASK', 'WNT9A', 'TP53INP2', 'FBXO32', 'ATP8B1', 'THRA', 'PPRC1', 'ACSS1', 'JOSD2', 'ANKLE2', 'CMTR1', 'IL21', 'POU6F1', 'DEF8', 'NPEPPS']",,58.0,1.0,0.0,"['RARB_Rest', 'NPAS2_Rest', 'STAP1_Rest', 'KMT2C_Rest', 'DYNLT2B_Rest', 'ZC3H12A_Rest', 'CDCA3_Rest', 'AHSA1_Rest', 'RAB27B_Rest', 'PRXL2B_Rest', 'ETV2_Rest', 'SLC25A3_Rest', 'PHF3_Rest', 'TOPORS_Rest', 'LIN37_Stim8hr', 'YPEL5_Rest', 'ERGIC3_Rest', 'BRD10_Rest', 'RBPJL_Rest', 'FOXS1_Rest', 'BRD1_Rest', 'EIF4B_Rest', 'ANKZF1_Rest', 'EI24_Rest', 'AIP_Rest', 'MTG2_Rest', 'DVL1_Rest', 'LIN37_Rest', 'METRN_Rest', 'PARD6A_Rest', 'SPOP_Rest', 'PRCP_Rest', 'NSD1_Rest', 'RCN1_Rest', 'HIVEP3_Rest', 'ZBTB1_Rest', 'GGACT_Rest', 'ICOS_Rest', 'MAU2_Rest', 'INIP_Rest', 'HOXB13_Rest', 'DESI1_Rest', 'AP3D1_Rest', 'ZSCAN25_Rest', 'CASK_Rest', 'WNT9A_Rest', 'TP53INP2_Rest', 'FBXO32_Rest', 'ATP8B1_Rest', 'THRA_Rest', 'PPRC1_Rest', 'ACSS1_Rest', 'JOSD2_Rest', 'ANKLE2_Rest', 'CMTR1_Rest', 'IL21_Rest', 'POU6F1_Rest', 'DEF8_Rest', 'NPEPPS_Rest']"
