,target_contrast,target_name,condition,n_cells_target,n_up_genes,n_down_genes,n_total_de_genes,ontarget_effect_size,ontarget_significant,baseMean,offtarget_flag,n_total_genes_category,ontarget_effect_category,target_contrast_corrected,obs_names,target_name_corrected
201,ENSG00000056097,ZFR,Stim8hr,170.0,34,14,48,-11.060401020382724,True,159.7515532465618,False,>10 DE genes,on-target KD,ENSG00000056097,ENSG00000056097_Stim8hr,ZFR
204,ENSG00000074621,SLC24A1,Stim8hr,650.0,1243,684,1927,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000074621,ENSG00000074621_Stim8hr,SLC24A1
206,ENSG00000074800,ENO1,Stim8hr,90.0,15,17,32,-26.33374190207445,True,1180.1288670512724,False,>10 DE genes,on-target KD,ENSG00000074800,ENSG00000074800_Stim8hr,ENO1
211,ENSG00000104859,CLASRP,Stim8hr,110.0,104,93,197,-6.9022000367216725,True,52.75284986886814,False,>10 DE genes,on-target KD,ENSG00000104859,ENSG00000104859_Stim8hr,CLASRP
214,ENSG00000115274,INO80B,Stim8hr,225.0,256,172,428,-11.112572494115318,True,64.49620812446844,False,>10 DE genes,on-target KD,ENSG00000115274,ENSG00000115274_Stim8hr,INO80B
216,ENSG00000118482,PHF3,Stim8hr,2262.0,38,43,81,-22.537333456192247,True,32.91305983589794,False,>10 DE genes,on-target KD,ENSG00000118482,ENSG00000118482_Stim8hr,PHF3
238,ENSG00000183508,TENT5C,Stim8hr,524.0,85,22,107,-7.656887396545902,True,18.18235323821833,False,>10 DE genes,on-target KD,ENSG00000183508,ENSG00000183508_Stim8hr,TENT5C
244,ENSG00000196381,ZNF781,Stim8hr,706.0,18,97,115,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000196381,ENSG00000196381_Stim8hr,ZNF781
249,ENSG00000291237,SOD2,Stim8hr,424.0,56,17,73,-14.395687713896962,True,66.84860783369614,False,>10 DE genes,on-target KD,ENSG00000291237,ENSG00000291237_Stim8hr,SOD2
252,ENSG00000049883,PTCD2,Stim8hr,265.0,36,7,43,-5.687992904008152,True,16.254113175195595,False,>10 DE genes,on-target KD,ENSG00000049883,ENSG00000049883_Stim8hr,PTCD2
253,ENSG00000081721,DUSP12,Stim8hr,135.0,617,355,972,-6.296810662946027,True,47.19519647161109,False,>10 DE genes,on-target KD,ENSG00000081721,ENSG00000081721_Stim8hr,DUSP12
258,ENSG00000105705,SUGP1,Stim8hr,276.0,51,56,107,-6.501480911779658,True,22.2555028627307,False,>10 DE genes,on-target KD,ENSG00000105705,ENSG00000105705_Stim8hr,SUGP1
259,ENSG00000109911,ELP4,Stim8hr,150.0,154,38,192,-4.100952255335577,True,31.07358441572575,False,>10 DE genes,on-target KD,ENSG00000109911,ENSG00000109911_Stim8hr,ELP4
275,ENSG00000134996,OSTF1,Stim8hr,734.0,19,13,32,-11.06929418462495,True,60.396645747202015,True,>10 DE genes,on-target KD,ENSG00000134996,ENSG00000134996_Stim8hr,OSTF1
280,ENSG00000141965,FEM1A,Stim8hr,383.0,40,55,95,-9.726612284113934,True,81.19533002583269,False,>10 DE genes,on-target KD,ENSG00000141965,ENSG00000141965_Stim8hr,FEM1A
294,ENSG00000196396,PTPN1,Stim8hr,131.0,92,7,99,-5.111423755746331,True,123.92765296767276,False,>10 DE genes,on-target KD,ENSG00000196396,ENSG00000196396_Stim8hr,PTPN1
298,ENSG00000228474,OST4,Stim8hr,1495.0,88,10,98,-18.67041192843442,True,91.44324025323996,False,>10 DE genes,on-target KD,ENSG00000228474,ENSG00000228474_Stim8hr,OST4
302,ENSG00000077092,RARB,Rest,472.0,64,7,71,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000077092,ENSG00000077092_Rest,RARB
305,ENSG00000104835,SARS2,Rest,450.0,47,30,77,-3.808676169419434,True,5.987014087136643,False,>10 DE genes,on-target KD,ENSG00000104835,ENSG00000104835_Rest,SARS2
306,ENSG00000106682,EIF4H,Rest,380.0,74,20,94,-21.61896239972776,True,161.54866715624678,False,>10 DE genes,on-target KD,ENSG00000106682,ENSG00000106682_Rest,EIF4H
314,ENSG00000117543,DPH5,Rest,400.0,168,316,484,-12.597845839790097,True,43.195072405188064,False,>10 DE genes,on-target KD,ENSG00000117543,ENSG00000117543_Rest,DPH5
318,ENSG00000120029,ARMH3,Rest,242.0,56,60,116,-9.20075969907164,True,46.08406513060829,False,>10 DE genes,on-target KD,ENSG00000120029,ENSG00000120029_Rest,ARMH3
320,ENSG00000127884,ECHS1,Rest,832.0,145,124,269,-19.957715184476932,True,53.48685914340115,True,>10 DE genes,on-target KD,ENSG00000127884,ENSG00000127884_Rest,ECHS1
325,ENSG00000156603,MED19,Rest,877.0,1131,881,2012,-7.033382304404051,True,9.250685576317515,True,>10 DE genes,on-target KD,ENSG00000156603,ENSG00000156603_Rest,MED19
327,ENSG00000164190,NIPBL,Rest,746.0,276,82,358,-6.803241605527359,True,70.44571541739863,False,>10 DE genes,on-target KD,ENSG00000164190,ENSG00000164190_Rest,NIPBL
339,ENSG00000180448,ARHGAP45,Rest,354.0,21,13,34,-10.765635788020695,True,168.28669169806662,False,>10 DE genes,on-target KD,ENSG00000180448,ENSG00000180448_Rest,ARHGAP45
343,ENSG00000236287,ZBED5,Rest,82.0,31,27,58,-2.796841604112044,True,21.89767610825873,False,>10 DE genes,on-target KD,ENSG00000236287,ENSG00000236287_Rest,ZBED5
355,ENSG00000100890,KIAA0391,Stim48hr,343.0,78,37,115,-4.269489209164348,True,46.45736686234471,False,>10 DE genes,on-target KD,ENSG00000100890,ENSG00000100890_Stim48hr,PRORP
365,ENSG00000133858,ZFC3H1,Stim48hr,210.0,289,78,367,-13.866931366467751,True,109.33130331498724,True,>10 DE genes,on-target KD,ENSG00000133858,ENSG00000133858_Stim48hr,ZFC3H1
367,ENSG00000135074,ADAM19,Stim48hr,161.0,303,146,449,-6.240291494839422,True,776.1863007737439,False,>10 DE genes,on-target KD,ENSG00000135074,ENSG00000135074_Stim48hr,ADAM19
375,ENSG00000162148,PPP1R32,Stim48hr,928.0,47,35,82,-1.7194003898004837,False,2.550222436997821,False,>10 DE genes,no on-target KD,ENSG00000162148,ENSG00000162148_Stim48hr,SAXO4
387,ENSG00000179151,EDC3,Stim48hr,1645.0,89,43,132,-23.380109961945305,True,46.02912548193228,False,>10 DE genes,on-target KD,ENSG00000179151,ENSG00000179151_Stim48hr,EDC3
389,ENSG00000184983,NDUFA6,Stim48hr,336.0,80,165,245,-10.25035530116584,True,61.00814403062762,False,>10 DE genes,on-target KD,ENSG00000184983,ENSG00000184983_Stim48hr,NDUFA6
394,ENSG00000197442,MAP3K5,Stim48hr,181.0,52,24,76,-6.139111544840623,True,30.78698098938061,False,>10 DE genes,on-target KD,ENSG00000197442,ENSG00000197442_Stim48hr,MAP3K5
399,ENSG00000274180,NATD1,Stim48hr,897.0,6,26,32,-4.151238483883713,True,2.446495709800021,False,>10 DE genes,on-target KD,ENSG00000274180,ENSG00000274180_Stim48hr,NATD1
408,ENSG00000105732,ZNF574,Stim48hr,105.0,141,70,211,-2.517384699011896,False,7.843170676047803,False,>10 DE genes,no on-target KD,ENSG00000105732,ENSG00000105732_Stim48hr,ZNF574
412,ENSG00000110717,NDUFS8,Stim48hr,201.0,466,417,883,-6.8752557347827885,True,34.98577544634279,False,>10 DE genes,on-target KD,ENSG00000110717,ENSG00000110717_Stim48hr,NDUFS8
416,ENSG00000120217,CD274,Stim48hr,1514.0,91,11,102,-7.600914391240054,True,18.632505007765104,False,>10 DE genes,on-target KD,ENSG00000120217,ENSG00000120217_Stim48hr,CD274
427,ENSG00000151151,IPMK,Stim48hr,200.0,70,79,149,-2.5781932353667294,False,26.717696719099035,True,>10 DE genes,putative off-target,ENSG00000151151,ENSG00000151151_Stim48hr,IPMK
431,ENSG00000162419,GMEB1,Stim48hr,1642.0,216,343,559,-22.04739250645212,True,41.06768859982102,False,>10 DE genes,on-target KD,ENSG00000162419,ENSG00000162419_Stim48hr,GMEB1
436,ENSG00000168813,ZNF507,Stim48hr,469.0,66,6,72,-12.271524737227187,True,39.376594441679416,False,>10 DE genes,on-target KD,ENSG00000168813,ENSG00000168813_Stim48hr,ZNF507
441,ENSG00000184840,TMED9,Stim48hr,119.0,375,143,518,-6.529482143830327,True,76.12139761222625,False,>10 DE genes,on-target KD,ENSG00000184840,ENSG00000184840_Stim48hr,TMED9
464,ENSG00000115286,NDUFS7,Stim48hr,548.0,32,22,54,-17.21473839876277,True,91.60912928989649,False,>10 DE genes,on-target KD,ENSG00000115286,ENSG00000115286_Stim48hr,NDUFS7
477,ENSG00000140320,BAHD1,Stim48hr,420.0,345,48,393,-10.217793995188376,True,29.9378974091236,False,>10 DE genes,on-target KD,ENSG00000140320,ENSG00000140320_Stim48hr,BAHD1
490,ENSG00000188493,C19orf54,Stim48hr,430.0,23,28,51,-9.797592912671371,False,22.78238892480392,True,>10 DE genes,putative off-target,ENSG00000188493,ENSG00000188493_Stim48hr,ACTMAP
492,ENSG00000204120,GIGYF2,Stim48hr,356.0,206,110,316,-10.444114221366409,True,35.1404157251438,False,>10 DE genes,on-target KD,ENSG00000204120,ENSG00000204120_Stim48hr,GIGYF2
512,ENSG00000105185,PDCD5,Stim8hr,464.0,20,18,38,-15.636083544621624,True,76.06302406044682,False,>10 DE genes,on-target KD,ENSG00000105185,ENSG00000105185_Stim8hr,PDCD5
515,ENSG00000108510,MED13,Stim8hr,1232.0,154,66,220,-32.15656256089598,True,97.31800849420144,False,>10 DE genes,on-target KD,ENSG00000108510,ENSG00000108510_Stim8hr,MED13
516,ENSG00000109118,PHF12,Stim8hr,281.0,180,146,326,-11.67452037688894,True,63.24502756680483,False,>10 DE genes,on-target KD,ENSG00000109118,ENSG00000109118_Stim8hr,PHF12
517,ENSG00000115216,NRBP1,Stim8hr,329.0,377,251,628,-15.31039141141271,True,195.65134044538092,False,>10 DE genes,on-target KD,ENSG00000115216,ENSG00000115216_Stim8hr,NRBP1
527,ENSG00000140398,NEIL1,Stim8hr,699.0,59,18,77,-0.3916125061390061,True,0.120149307107209,False,>10 DE genes,on-target KD,ENSG00000140398,ENSG00000140398_Stim8hr,NEIL1
530,ENSG00000151117,TMEM86A,Stim8hr,470.0,48,22,70,-0.5010512720933583,True,0.1759113276643374,False,>10 DE genes,on-target KD,ENSG00000151117,ENSG00000151117_Stim8hr,TMEM86A
534,ENSG00000166411,IDH3A,Stim8hr,167.0,84,41,125,-12.26364042910482,True,105.32062323859928,False,>10 DE genes,on-target KD,ENSG00000166411,ENSG00000166411_Stim8hr,IDH3A
543,ENSG00000196584,XRCC2,Stim8hr,159.0,420,73,493,-4.195356813137808,True,19.76117463722481,False,>10 DE genes,on-target KD,ENSG00000196584,ENSG00000196584_Stim8hr,XRCC2
545,ENSG00000204469,PRRC2A,Stim8hr,399.0,34,88,122,-16.793087526516224,True,80.15006805092811,False,>10 DE genes,on-target KD,ENSG00000204469,ENSG00000204469_Stim8hr,PRRC2A
546,ENSG00000214046,SMIM7,Stim8hr,275.0,25,21,46,-8.137619950556784,True,48.44499572986194,False,>10 DE genes,on-target KD,ENSG00000214046,ENSG00000214046_Stim8hr,SMIM7
558,ENSG00000119760,SUPT7L,Stim48hr,2293.0,2575,1070,3645,-23.145369110136592,True,30.590275202129845,True,>10 DE genes,on-target KD,ENSG00000119760,ENSG00000119760_Stim48hr,SUPT7L
561,ENSG00000125877,ITPA,Stim48hr,278.0,24,19,43,-10.175474698592437,True,43.91080236680635,False,>10 DE genes,on-target KD,ENSG00000125877,ENSG00000125877_Stim48hr,ITPA
562,ENSG00000126107,HECTD3,Stim48hr,242.0,18,23,41,-7.191378491195094,True,25.78117209928228,False,>10 DE genes,on-target KD,ENSG00000126107,ENSG00000126107_Stim48hr,HECTD3
565,ENSG00000132522,GPS2,Stim48hr,531.0,37,47,84,-9.579898212438556,True,37.93298003015279,False,>10 DE genes,on-target KD,ENSG00000132522,ENSG00000132522_Stim48hr,GPS2
584,ENSG00000173575,CHD2,Stim48hr,625.0,23,10,33,-20.196015531906887,True,209.5523750520431,False,>10 DE genes,on-target KD,ENSG00000173575,ENSG00000173575_Stim48hr,CHD2
595,ENSG00000198171,DDRGK1,Stim48hr,557.0,856,599,1455,-17.607228899241523,True,59.94969883224793,True,>10 DE genes,on-target KD,ENSG00000198171,ENSG00000198171_Stim48hr,DDRGK1
596,ENSG00000198825,INPP5F,Stim48hr,805.0,28,13,41,-12.166027840101403,True,31.1011334676902,False,>10 DE genes,on-target KD,ENSG00000198825,ENSG00000198825_Stim48hr,INPP5F
601,ENSG00000037637,FBXO42,Rest,376.0,44,25,69,-9.7684749537553,True,29.89497603127745,False,>10 DE genes,on-target KD,ENSG00000037637,ENSG00000037637_Rest,FBXO42
603,ENSG00000083535,PIBF1,Rest,297.0,24,12,36,-6.501206507608351,True,17.38255653610732,True,>10 DE genes,on-target KD,ENSG00000083535,ENSG00000083535_Rest,PIBF1
610,ENSG00000108349,CASC3,Rest,310.0,862,377,1239,-15.973153517042563,True,88.59647396125392,False,>10 DE genes,on-target KD,ENSG00000108349,ENSG00000108349_Rest,CASC3
622,ENSG00000139725,RHOF,Rest,380.0,270,206,476,-19.34572165740857,True,146.55659979224637,False,>10 DE genes,on-target KD,ENSG00000139725,ENSG00000139725_Rest,RHOF
628,ENSG00000152556,PFKM,Rest,524.0,27,13,40,-4.819021395401287,True,8.130271082014373,False,>10 DE genes,on-target KD,ENSG00000152556,ENSG00000152556_Rest,PFKM
632,ENSG00000163281,GNPDA2,Rest,713.0,60,107,167,-8.869700635274464,True,17.733017962189802,False,>10 DE genes,on-target KD,ENSG00000163281,ENSG00000163281_Rest,GNPDA2
636,ENSG00000166233,ARIH1,Rest,388.0,294,140,434,-13.394128393903348,True,44.86484327801087,False,>10 DE genes,on-target KD,ENSG00000166233,ENSG00000166233_Rest,ARIH1
644,ENSG00000179941,BBS10,Rest,1630.0,23,21,44,-10.246822482280171,True,8.34493836891986,False,>10 DE genes,on-target KD,ENSG00000179941,ENSG00000179941_Rest,BBS10
655,ENSG00000074356,NCBP3,Rest,1286.0,268,297,565,-20.24369027691808,True,38.64735052369265,False,>10 DE genes,on-target KD,ENSG00000074356,ENSG00000074356_Rest,NCBP3
658,ENSG00000087152,ATXN7L3,Rest,1294.0,411,134,545,-11.36005317568072,True,17.984310420031807,False,>10 DE genes,on-target KD,ENSG00000087152,ENSG00000087152_Rest,ATXN7L3
660,ENSG00000100823,APEX1,Rest,684.0,49,29,78,-18.63350249879328,True,73.12379032774018,True,>10 DE genes,on-target KD,ENSG00000100823,ENSG00000100823_Rest,APEX1
668,ENSG00000124222,STX16,Rest,852.0,177,39,216,-26.0418683124448,True,105.8990730034666,False,>10 DE genes,on-target KD,ENSG00000124222,ENSG00000124222_Rest,STX16
675,ENSG00000140450,ARRDC4,Rest,124.0,341,117,458,-0.4483404411956649,False,0.5411635665005162,False,>10 DE genes,no on-target KD,ENSG00000140450,ENSG00000140450_Rest,ARRDC4
686,ENSG00000166477,LEO1,Rest,347.0,1515,1500,3015,-11.243671145872888,True,53.22891667837858,False,>10 DE genes,on-target KD,ENSG00000166477,ENSG00000166477_Rest,LEO1
688,ENSG00000172465,TCEAL1,Rest,1005.0,302,182,484,-3.152016436620257,True,2.408666305636108,False,>10 DE genes,on-target KD,ENSG00000172465,ENSG00000172465_Rest,TCEAL1
700,ENSG00000054392,HHAT,Rest,140.0,29,129,158,-0.0704429451960151,True,1.1871604082728195,False,>10 DE genes,on-target KD,ENSG00000054392,ENSG00000054392_Rest,HHAT
709,ENSG00000100201,DDX17,Rest,990.0,367,524,891,-27.371871358145,True,113.79822452129372,False,>10 DE genes,on-target KD,ENSG00000100201,ENSG00000100201_Rest,DDX17
725,ENSG00000151665,PIGF,Rest,182.0,279,179,458,-8.568147010171227,True,39.6327154359328,True,>10 DE genes,on-target KD,ENSG00000151665,ENSG00000151665_Rest,PIGF
734,ENSG00000170485,NPAS2,Rest,168.0,50,31,81,-0.3320913865598405,True,0.1429034536084048,False,>10 DE genes,on-target KD,ENSG00000170485,ENSG00000170485_Rest,NPAS2
741,ENSG00000178202,KDELC2,Rest,316.0,452,423,875,-7.052681518405281,True,22.22141187860992,False,>10 DE genes,on-target KD,ENSG00000178202,ENSG00000178202_Rest,POGLUT3
742,ENSG00000179218,CALR,Rest,472.0,61,2,63,-10.596255189949249,True,117.63554915630426,False,>10 DE genes,on-target KD,ENSG00000179218,ENSG00000179218_Rest,CALR
743,ENSG00000183508,TENT5C,Rest,468.0,41,7,48,-10.534837040175605,True,37.93659925640103,False,>10 DE genes,on-target KD,ENSG00000183508,ENSG00000183508_Rest,TENT5C
754,ENSG00000088035,ALG6,Rest,747.0,130,12,142,-13.001113811225595,True,28.16317772315697,False,>10 DE genes,on-target KD,ENSG00000088035,ENSG00000088035_Rest,ALG6
755,ENSG00000101417,PXMP4,Rest,563.0,90,13,103,-8.251309663319722,True,13.291974826031892,False,>10 DE genes,on-target KD,ENSG00000101417,ENSG00000101417_Rest,PXMP4
756,ENSG00000102172,SMS,Rest,312.0,59,15,74,-14.190860848265553,True,80.15360386040521,False,>10 DE genes,on-target KD,ENSG00000102172,ENSG00000102172_Rest,SMS
757,ENSG00000108465,CDK5RAP3,Rest,793.0,96,36,132,-18.474361452722057,True,57.57840501877118,False,>10 DE genes,on-target KD,ENSG00000108465,ENSG00000108465_Rest,CDK5RAP3
760,ENSG00000115289,PCGF1,Rest,1537.0,436,248,684,-18.287513083320025,True,31.25742696448565,False,>10 DE genes,on-target KD,ENSG00000115289,ENSG00000115289_Rest,PCGF1
771,ENSG00000140365,COMMD4,Rest,495.0,27,9,36,-13.772102958199422,True,41.56093601840906,False,>10 DE genes,on-target KD,ENSG00000140365,ENSG00000140365_Rest,COMMD4
777,ENSG00000151702,FLI1,Rest,310.0,160,155,315,-14.707688375945356,True,115.44515985774936,False,>10 DE genes,on-target KD,ENSG00000151702,ENSG00000151702_Rest,FLI1
779,ENSG00000157450,RNF111,Rest,210.0,110,209,319,-7.94574092143004,True,35.07261387095985,False,>10 DE genes,on-target KD,ENSG00000157450,ENSG00000157450_Rest,RNF111
780,ENSG00000159905,ZNF221,Rest,319.0,452,211,663,-1.6558576528223454,True,0.7769489046179594,False,>10 DE genes,on-target KD,ENSG00000159905,ENSG00000159905_Rest,ZNF221
785,ENSG00000164620,RELL2,Rest,125.0,441,211,652,-3.351566433959252,True,10.326103667741975,True,>10 DE genes,on-target KD,ENSG00000164620,ENSG00000164620_Rest,RELL2
790,ENSG00000184557,SOCS3,Rest,113.0,59,35,94,-5.6114683109897605,True,41.93711139594109,False,>10 DE genes,on-target KD,ENSG00000184557,ENSG00000184557_Rest,SOCS3
804,ENSG00000100263,RHBDD3,Stim48hr,421.0,118,44,162,-3.431869404947277,True,2.862562671308596,True,>10 DE genes,on-target KD,ENSG00000100263,ENSG00000100263_Stim48hr,RHBDD3
805,ENSG00000100425,BRD1,Stim48hr,245.0,60,76,136,-9.992878806381844,True,74.40767719057355,False,>10 DE genes,on-target KD,ENSG00000100425,ENSG00000100425_Stim48hr,BRD1
830,ENSG00000152642,GPD1L,Stim48hr,497.0,28,20,48,-8.865032413568319,True,18.73643689476625,False,>10 DE genes,on-target KD,ENSG00000152642,ENSG00000152642_Stim48hr,GPD1L
832,ENSG00000156017,CARNMT1,Stim48hr,1155.0,30,28,58,-23.63959221146031,True,101.92820572670244,False,>10 DE genes,on-target KD,ENSG00000156017,ENSG00000156017_Stim48hr,CARNMT1
834,ENSG00000163848,ZNF148,Stim48hr,1224.0,263,230,493,-12.387735151541872,True,72.59289184967675,False,>10 DE genes,on-target KD,ENSG00000163848,ENSG00000163848_Stim48hr,ZNF148
839,ENSG00000175550,DRAP1,Stim48hr,686.0,116,65,181,-16.746100839674085,True,346.22000167316963,True,>10 DE genes,on-target KD,ENSG00000175550,ENSG00000175550_Stim48hr,DRAP1
846,ENSG00000203618,GP1BB,Stim48hr,344.0,33,24,57,0.0,False,,False,>10 DE genes,no on-target KD,ENSG00000203618,ENSG00000203618_Stim48hr,GP1BB
852,ENSG00000088451,TGDS,Rest,205.0,137,62,199,-6.716699883200229,True,19.36908043605748,True,>10 DE genes,on-target KD,ENSG00000088451,ENSG00000088451_Rest,TGDS
873,ENSG00000136925,TSTD2,Rest,144.0,259,97,356,-3.944049459054829,True,14.87231921007112,False,>10 DE genes,on-target KD,ENSG00000136925,ENSG00000136925_Rest,TSTD2
874,ENSG00000137411,VARS2,Rest,293.0,38,16,54,-5.510078215222831,True,11.759732353226832,False,>10 DE genes,on-target KD,ENSG00000137411,ENSG00000137411_Rest,VARS2
878,ENSG00000143374,TARS2,Rest,402.0,519,144,663,-6.9203181052663,True,13.594009288590684,False,>10 DE genes,on-target KD,ENSG00000143374,ENSG00000143374_Rest,TARS2
886,ENSG00000167004,PDIA3,Rest,488.0,68,7,75,-23.2447783276634,True,145.9256565758158,False,>10 DE genes,on-target KD,ENSG00000167004,ENSG00000167004_Rest,PDIA3
888,ENSG00000169714,CNBP,Rest,1173.0,28,25,53,-32.46691146634949,True,188.28225201042284,False,>10 DE genes,on-target KD,ENSG00000169714,ENSG00000169714_Rest,CNBP
903,ENSG00000067066,SP100,Stim48hr,844.0,46,80,126,-20.61939002945204,True,84.75545009704939,False,>10 DE genes,on-target KD,ENSG00000067066,ENSG00000067066_Stim48hr,SP100
916,ENSG00000119471,HSDL2,Stim48hr,840.0,122,33,155,-25.76862055917408,True,104.59877857468804,False,>10 DE genes,on-target KD,ENSG00000119471,ENSG00000119471_Stim48hr,HSDL2
921,ENSG00000128266,GNAZ,Stim48hr,573.0,54,34,88,-0.8034186398451629,True,0.3906700279098811,False,>10 DE genes,on-target KD,ENSG00000128266,ENSG00000128266_Stim48hr,GNAZ
950,ENSG00000007341,ST7L,Rest,197.0,302,133,435,-4.178796369418508,False,6.251990332164948,True,>10 DE genes,putative off-target,ENSG00000007341,ENSG00000007341_Rest,ST7L
