,target,effect_size,standard_error,num,neg|goodsgrna,pos|goodsgrna,pvalue,phenotype,perturbation_type,goodsgrna
37920,TUBA1C,-0.10361,0.028523282504754655,12,5,1,0.00014036,Prim.CRi.CD4.IL2,CRISPRi,6
37921,FITM2,-0.12327,0.034258895167401895,12,5,2,0.00016022,Prim.CRi.CD4.IL2,CRISPRi,7
37922,ELOA,-0.33152,0.09234990490264303,12,10,0,0.00016545,Prim.CRi.CD4.IL2,CRISPRi,10
37923,ETNK1,-0.3979,0.11145792899245771,12,9,0,0.00017852,Prim.CRi.CD4.IL2,CRISPRi,9
37924,NCOR1,-0.51992,0.14615964806336093,12,8,0,0.00018741,Prim.CRi.CD4.IL2,CRISPRi,8
37925,PGBD5,-0.16411,0.04626104950079479,12,6,3,0.00019447,Prim.CRi.CD4.IL2,CRISPRi,9
37926,FNDC4,0.02447,0.08186815635022075,12,4,3,0.61749,Prim.CRi.CD4.IL2,CRISPRi,7
37927,ATP6V0E1,0.0033909,0.007946855984553554,12,4,3,0.3348,Prim.CRi.CD4.IL2,CRISPRi,7
37928,NDUFB1,-0.10868,0.031456606716338764,12,4,1,0.00027523,Prim.CRi.CD4.IL2,CRISPRi,5
37929,CD53,-0.33611,0.09840170952572833,12,9,1,0.0003181,Prim.CRi.CD4.IL2,CRISPRi,10
37930,SYK,-0.2695,0.07900312496664555,12,7,2,0.00032332,Prim.CRi.CD4.IL2,CRISPRi,9
37931,TXK,-0.21949,0.0648086076255697,12,6,1,0.00035364,Prim.CRi.CD4.IL2,CRISPRi,7
37932,SEC61B,-0.36612,0.10810391099309116,12,10,1,0.00035364,Prim.CRi.CD4.IL2,CRISPRi,11
37933,NDFIP2,-0.039486,0.011844277560217588,12,3,4,0.0004284,Prim.CRi.CD4.IL2,CRISPRi,7
37934,BCL11B,-0.40342,0.12132696029483497,12,9,1,0.00044199,Prim.CRi.CD4.IL2,CRISPRi,10
37935,THEMIS,-0.42409,0.12774422108725014,12,8,0,0.00045035,Prim.CRi.CD4.IL2,CRISPRi,8
37936,MGAT4C,-0.26501,0.08007968696473512,12,10,1,0.0004676,Prim.CRi.CD4.IL2,CRISPRi,11
37937,CHD7,-0.19191,0.058104799024290124,12,6,2,0.00047858,Prim.CRi.CD4.IL2,CRISPRi,8
37938,UBA3,-0.34319,0.10395620826122916,12,10,0,0.0004812,Prim.CRi.CD4.IL2,CRISPRi,10
37939,HDAC7,-0.36456,0.1104903193479777,12,9,0,0.00048433,Prim.CRi.CD4.IL2,CRISPRi,9
37940,ACTR5,-0.53868,0.16372142393272662,12,9,1,0.00050054,Prim.CRi.CD4.IL2,CRISPRi,10
37941,OTUD7B,-0.28501,0.08662330703769662,12,8,1,0.00050054,Prim.CRi.CD4.IL2,CRISPRi,9
37942,SIN3B,-0.41614,0.1271077063943829,12,8,1,0.00053034,Prim.CRi.CD4.IL2,CRISPRi,9
37943,TMX1,-0.38186,0.11699926184479549,12,6,1,0.00054968,Prim.CRi.CD4.IL2,CRISPRi,7
37944,OLFM4,-0.23955,0.07340248816042506,12,10,1,0.0005502,Prim.CRi.CD4.IL2,CRISPRi,11
37945,PRKAR1A,-0.42524,0.13163834934791907,12,7,1,0.00061816,Prim.CRi.CD4.IL2,CRISPRi,8
37946,CA10,0.096083,0.10358341802784381,12,3,6,0.17681,Prim.CRi.CD4.IL2,CRISPRi,9
37947,CCDC151,-0.31333,0.09754104771331625,12,8,1,0.00065841,Prim.CRi.CD4.IL2,CRISPRi,9
37948,RTP2,-0.051273,0.016090842318904057,12,5,3,0.0007201,Prim.CRi.CD4.IL2,CRISPRi,8
37949,ARHGAP26,-0.25626,0.08113197108969011,12,6,1,0.00079276,Prim.CRi.CD4.IL2,CRISPRi,7
37950,C4orf45,-0.26619,0.08441333360165149,12,9,1,0.00080687,Prim.CRi.CD4.IL2,CRISPRi,10
37951,BRPF1,-0.27865,0.08905313792843543,12,7,1,0.00087692,Prim.CRi.CD4.IL2,CRISPRi,8
37952,JUN,-0.37464,0.11975714345510384,12,8,2,0.00087901,Prim.CRi.CD4.IL2,CRISPRi,10
37953,TTBK2,-0.10719,0.03427385963917152,12,4,2,0.00088163,Prim.CRi.CD4.IL2,CRISPRi,6
37954,ADCY5,-0.41359,0.13259497737981868,12,8,1,0.00090672,Prim.CRi.CD4.IL2,CRISPRi,9
37955,SUPT5H,-0.58234,0.18746587525605118,12,8,1,0.00094697,Prim.CRi.CD4.IL2,CRISPRi,9
37956,TARS,-0.12576,0.040583488820423695,12,3,3,0.00097154,Prim.CRi.CD4.IL2,CRISPRi,6
37957,FLVCR2,0.11643,1.3620771094151511,12,2,3,0.46594,Prim.CRi.CD4.IL2,CRISPRi,5
37958,LRIG1,-0.027485,0.00889756754893271,12,4,3,0.001004,Prim.CRi.CD4.IL2,CRISPRi,7
37959,COL4A3BP,-0.42021,0.13606611539672214,12,9,1,0.0010066,Prim.CRi.CD4.IL2,CRISPRi,10
37960,MAGT1,-0.36708,0.11886803361129716,12,8,0,0.0010071,Prim.CRi.CD4.IL2,CRISPRi,8
37961,PRRC2B,-0.34536,0.11292763800210615,12,7,1,0.0011132,Prim.CRi.CD4.IL2,CRISPRi,8
37962,HDAC3,-0.40084,0.13136169383367946,12,8,1,0.0011388,Prim.CRi.CD4.IL2,CRISPRi,9
37963,HLA-DRA,-0.3686,0.12114721188401599,12,9,0,0.0011728,Prim.CRi.CD4.IL2,CRISPRi,9
37964,TAF5,-0.37649,0.12374040640860874,12,8,0,0.0011728,Prim.CRi.CD4.IL2,CRISPRi,8
37965,CCP110,-0.27755,0.0913459712500212,12,7,2,0.001189,Prim.CRi.CD4.IL2,CRISPRi,9
37966,COG4,-0.46049,0.15218562659058954,12,8,0,0.0012397,Prim.CRi.CD4.IL2,CRISPRi,8
37967,DTNBP1,-0.36785,0.12156937770928437,12,9,3,0.0012397,Prim.CRi.CD4.IL2,CRISPRi,12
37968,ID3,-0.34349,0.11417928880374553,12,8,0,0.0013134,Prim.CRi.CD4.IL2,CRISPRi,8
37969,DDX60L,-0.12444,0.04156457290260217,12,3,1,0.0013772,Prim.CRi.CD4.IL2,CRISPRi,4
37970,TMEM60,-0.44919,0.15032313439711598,12,8,0,0.0014033,Prim.CRi.CD4.IL2,CRISPRi,8
37971,ICAM2,0.2347,0.10949574740543426,12,4,7,0.016038,Prim.CRi.CD4.IL2,CRISPRi,11
37972,CYP27A1,-0.27672,0.09326010810527685,12,8,1,0.0015027,Prim.CRi.CD4.IL2,CRISPRi,9
37973,SPCS3,-0.097781,0.03300835954683654,12,4,0,0.0015267,Prim.CRi.CD4.IL2,CRISPRi,4
37974,EXOC5,-0.30389,0.102611292483563,12,7,3,0.0015304,Prim.CRi.CD4.IL2,CRISPRi,10
37975,LHFPL2,-0.30266,0.10229010785183955,12,9,1,0.001544,Prim.CRi.CD4.IL2,CRISPRi,10
37976,CD36,-0.16683,0.05641699862528275,12,5,1,0.0015528,Prim.CRi.CD4.IL2,CRISPRi,6
37977,PCDHB7,-0.42604,0.1440741958539559,12,7,4,0.0015528,Prim.CRi.CD4.IL2,CRISPRi,11
37978,DAD1,-0.41773,0.14220731062438813,12,9,0,0.0016545,Prim.CRi.CD4.IL2,CRISPRi,9
37979,MYF5,-0.23222,0.07918678668027695,12,6,2,0.0016809,Prim.CRi.CD4.IL2,CRISPRi,8
37980,ASAH2,-0.22116,0.07543764386153388,12,6,2,0.0016856,Prim.CRi.CD4.IL2,CRISPRi,8
37981,XRCC5,-0.3674,0.1257761578564855,12,7,1,0.0017442,Prim.CRi.CD4.IL2,CRISPRi,8
37982,ZNF536,-0.37609,0.12982834778940366,12,7,3,0.0018848,Prim.CRi.CD4.IL2,CRISPRi,10
37983,PPCS,-0.30742,0.10618334507989503,12,9,2,0.0018947,Prim.CRi.CD4.IL2,CRISPRi,11
37984,NSMCE2,-0.31578,0.10907090205363754,12,8,0,0.0018947,Prim.CRi.CD4.IL2,CRISPRi,8
37985,RRAS2,-0.28301,0.09804462917971708,12,8,1,0.0019475,Prim.CRi.CD4.IL2,CRISPRi,9
37986,C18orf25,-0.24194,0.08383247759556064,12,9,1,0.0019509,Prim.CRi.CD4.IL2,CRISPRi,10
37987,MOB4,-0.44916,0.1558086854219607,12,7,1,0.001971,Prim.CRi.CD4.IL2,CRISPRi,8
37988,COG3,-0.14362,0.049956310088615695,12,5,2,0.0020207,Prim.CRi.CD4.IL2,CRISPRi,7
37989,CUL1,-0.30038,0.10458679542891923,12,8,2,0.002039,Prim.CRi.CD4.IL2,CRISPRi,10
37990,RAET1L,0.024197,0.032034226669889226,12,3,5,0.22502,Prim.CRi.CD4.IL2,CRISPRi,8
37991,ALMS1,-0.46463,0.16223251724442592,12,8,1,0.0020918,Prim.CRi.CD4.IL2,CRISPRi,9
37992,ACADS,-0.3439,0.12038396501325468,12,7,2,0.0021404,Prim.CRi.CD4.IL2,CRISPRi,9
37993,KDM5D,-0.31894,0.11225142743884667,12,9,2,0.0022465,Prim.CRi.CD4.IL2,CRISPRi,11
37994,COMMD8,-0.47503,0.1675822767786742,12,8,0,0.0022941,Prim.CRi.CD4.IL2,CRISPRi,8
37995,HLA-G,-0.21876,0.07750338778699177,12,6,1,0.0023819,Prim.CRi.CD4.IL2,CRISPRi,7
37996,BAG6,-0.44076,0.15637565918439497,12,7,0,0.0024117,Prim.CRi.CD4.IL2,CRISPRi,7
37997,TMED8,-0.25399,0.09064455458403754,12,6,0,0.002539,Prim.CRi.CD4.IL2,CRISPRi,6
37998,ZMYND11,-0.27676,0.09901841673049552,12,6,0,0.0025947,Prim.CRi.CD4.IL2,CRISPRi,6
37999,OR56B4,-0.22244,0.08010267725144252,12,9,0,0.0027437,Prim.CRi.CD4.IL2,CRISPRi,9
38000,KLHL20,-0.3338,0.12046536483453582,12,8,0,0.0027949,Prim.CRi.CD4.IL2,CRISPRi,8
38001,HNRNPL,-0.2773,0.1000750319611048,12,7,1,0.0027949,Prim.CRi.CD4.IL2,CRISPRi,8
38002,MALT1,-0.30019,0.10833810085502901,12,8,0,0.0027954,Prim.CRi.CD4.IL2,CRISPRi,8
38003,DDA1,-0.35533,0.1282380404970767,12,7,1,0.0027954,Prim.CRi.CD4.IL2,CRISPRi,8
38004,CATSPER4,-0.21778,0.07884988066888023,12,6,1,0.0028728,Prim.CRi.CD4.IL2,CRISPRi,7
38005,MAPK1,-0.14821,0.053662325472584566,12,5,1,0.0028733,Prim.CRi.CD4.IL2,CRISPRi,6
38006,RGS18,-0.37622,0.13621779967138362,12,8,1,0.0028733,Prim.CRi.CD4.IL2,CRISPRi,9
38007,COPS9,-0.33071,0.11974001522865152,12,6,3,0.0028733,Prim.CRi.CD4.IL2,CRISPRi,9
38008,ZNF571,-0.21742,0.07874833790402319,12,6,0,0.0028817,Prim.CRi.CD4.IL2,CRISPRi,6
38009,ARHGAP27,-0.0057079,0.002067370241571033,12,4,2,0.0028817,Prim.CRi.CD4.IL2,CRISPRi,6
38010,GLRA2,-0.33175,0.12015804019712856,12,9,1,0.0028817,Prim.CRi.CD4.IL2,CRISPRi,10
38011,SOSTDC1,-0.30771,0.11162941870627886,12,8,1,0.0029209,Prim.CRi.CD4.IL2,CRISPRi,9
38012,MALRD1,-0.16909,0.0616511303579976,12,6,3,0.0030469,Prim.CRi.CD4.IL2,CRISPRi,9
38013,CDV3,-0.31593,0.11522054927621925,12,7,1,0.0030537,Prim.CRi.CD4.IL2,CRISPRi,8
38014,C15orf54,-0.31883,0.11655777817373976,12,6,1,0.0031154,Prim.CRi.CD4.IL2,CRISPRi,7
38015,KCNC4,-0.49077,0.1794190176146512,12,9,0,0.0031159,Prim.CRi.CD4.IL2,CRISPRi,9
38016,HSD17B13,-0.09812,0.03587137357285404,12,4,2,0.0031159,Prim.CRi.CD4.IL2,CRISPRi,6
38017,EXOC2,-0.27924,0.10217690182163612,12,6,2,0.0031389,Prim.CRi.CD4.IL2,CRISPRi,8
38018,SENP8,-0.36792,0.1348168956158315,12,7,1,0.003176,Prim.CRi.CD4.IL2,CRISPRi,8
38019,OR1B1,-0.29015,0.10635560889591052,12,8,0,0.0031849,Prim.CRi.CD4.IL2,CRISPRi,8
38020,ZNF570,-0.041193,0.015149334293766668,12,5,4,0.0032727,Prim.CRi.CD4.IL2,CRISPRi,9
38021,GDF6,-0.26809,0.09859589019095624,12,6,3,0.0032732,Prim.CRi.CD4.IL2,CRISPRi,9
38022,SSH1,-0.46795,0.17218877834477483,12,8,2,0.0032873,Prim.CRi.CD4.IL2,CRISPRi,10
38023,ATG4A,-0.13469,0.049562179603405684,12,5,5,0.0032879,Prim.CRi.CD4.IL2,CRISPRi,10
38024,MEAF6,-0.20444,0.07522824261727121,12,6,3,0.0032879,Prim.CRi.CD4.IL2,CRISPRi,9
38025,FAM71C,-0.32849,0.12091723815940633,12,9,1,0.0032973,Prim.CRi.CD4.IL2,CRISPRi,10
38026,CCDC81,-0.4078,0.1502904132316319,12,7,4,0.0033297,Prim.CRi.CD4.IL2,CRISPRi,11
38027,PMFBP1,-0.091894,0.03388405772354213,12,4,2,0.0033438,Prim.CRi.CD4.IL2,CRISPRi,6
38028,VASH1,-0.12053,0.044537660656464126,12,5,2,0.0034024,Prim.CRi.CD4.IL2,CRISPRi,7
38029,PAX5,-0.29648,0.10959489852476205,12,9,0,0.0034128,Prim.CRi.CD4.IL2,CRISPRi,9
38030,MYO1F,-0.12746,0.047116895033312955,12,4,2,0.0034133,Prim.CRi.CD4.IL2,CRISPRi,6
38031,CACNA1F,-0.21627,0.07998118046201601,12,6,1,0.0034254,Prim.CRi.CD4.IL2,CRISPRi,7
38032,TMEM55A,-0.48343,0.17880563176050507,12,8,2,0.003429,Prim.CRi.CD4.IL2,CRISPRi,10
38033,CALCOCO1,-0.29231,0.10813065774920738,12,9,2,0.0034327,Prim.CRi.CD4.IL2,CRISPRi,11
38034,LY6L,-0.23067,0.08539419609376986,12,7,4,0.0034541,Prim.CRi.CD4.IL2,CRISPRi,11
38035,LIMS2,-0.16184,0.06011352708413674,12,5,1,0.0035487,Prim.CRi.CD4.IL2,CRISPRi,6
38036,ECHDC3,0.076178,0.14200867173725704,12,4,5,0.29583,Prim.CRi.CD4.IL2,CRISPRi,9
38037,SPAG6,-0.19942,0.07415440570928566,12,6,1,0.0035806,Prim.CRi.CD4.IL2,CRISPRi,7
38038,DNTTIP1,-0.31048,0.11569767198773696,12,6,2,0.0036423,Prim.CRi.CD4.IL2,CRISPRi,8
38039,HLA-DRB1,-0.098288,0.0366379365399209,12,5,2,0.0036517,Prim.CRi.CD4.IL2,CRISPRi,7
38040,UROD,-0.23651,0.08822000571733105,12,6,2,0.0036711,Prim.CRi.CD4.IL2,CRISPRi,8
38041,COMMD9,-0.26627,0.0996946138194272,12,9,0,0.0037829,Prim.CRi.CD4.IL2,CRISPRi,9
38042,VWA5A,-0.29319,0.10977377784098044,12,9,1,0.0037829,Prim.CRi.CD4.IL2,CRISPRi,10
38043,DNAJC8,-0.22051,0.08280356488191681,12,6,1,0.0038718,Prim.CRi.CD4.IL2,CRISPRi,7
38044,TARDBP,-0.45886,0.17255497168081382,12,9,0,0.0039162,Prim.CRi.CD4.IL2,CRISPRi,9
38045,TATDN3,-0.34075,0.12822065161173712,12,7,2,0.0039358,Prim.CRi.CD4.IL2,CRISPRi,9
38046,IFNGR1,-0.27195,0.1023536864687994,12,6,2,0.0039424,Prim.CRi.CD4.IL2,CRISPRi,8
38047,PBX2,-0.46826,0.1765634178374524,12,8,2,0.0039999,Prim.CRi.CD4.IL2,CRISPRi,10
38048,DPP9-AS1,-0.24502,0.09249815597216994,12,9,2,0.0040375,Prim.CRi.CD4.IL2,CRISPRi,11
38049,OSER1,-0.2443,0.09248363363534218,12,8,0,0.0041264,Prim.CRi.CD4.IL2,CRISPRi,8
38050,SEH1L,-0.29384,0.11123778513061378,12,9,1,0.0041264,Prim.CRi.CD4.IL2,CRISPRi,10
38051,ARMCX2,-0.26333,0.09991630602209477,12,6,3,0.0042006,Prim.CRi.CD4.IL2,CRISPRi,9
38052,SZRD1,-0.25871,0.09822611547170151,12,8,0,0.0042215,Prim.CRi.CD4.IL2,CRISPRi,8
38053,FGFR1OP,-0.16012,0.06087024606389592,12,5,3,0.0042628,Prim.CRi.CD4.IL2,CRISPRi,8
38054,KLK4,-0.3077,0.11724798884934584,12,6,4,0.0043407,Prim.CRi.CD4.IL2,CRISPRi,10
38055,PRAMEF11,-0.24383,0.0912943308873167,10,5,3,0.0037834,Prim.CRi.CD4.IL2,CRISPRi,8
38056,C16orf90,-0.32739,0.1250809560858081,12,8,2,0.0044298,Prim.CRi.CD4.IL2,CRISPRi,10
38057,TCEA1,-0.31732,0.12140756155075368,12,9,1,0.0044787,Prim.CRi.CD4.IL2,CRISPRi,10
38058,MAGEA12,-0.24327,0.08735546127701059,6,3,2,0.0026778,Prim.CRi.CD4.IL2,CRISPRi,5
38059,MTRNR2L3,-0.27287,0.104964592407211,12,8,1,0.0046661,Prim.CRi.CD4.IL2,CRISPRi,9
38060,IL22RA2,-0.17134,0.0659428745110842,12,7,1,0.0046842,Prim.CRi.CD4.IL2,CRISPRi,8
38061,ASXL2,-0.33359,0.12843074766853646,12,7,1,0.0046962,Prim.CRi.CD4.IL2,CRISPRi,8
38062,KRT6A,-0.20256,0.07838046996530906,12,6,2,0.0048786,Prim.CRi.CD4.IL2,CRISPRi,8
38063,OR5M11,-0.31241,0.12088686128486477,12,8,1,0.0048786,Prim.CRi.CD4.IL2,CRISPRi,9
38064,RPS6KB1,0.13356,0.28721592489618014,12,3,4,0.32096,Prim.CRi.CD4.IL2,CRISPRi,7
38065,COL28A1,-0.13768,0.05327592164701555,12,6,5,0.0048791,Prim.CRi.CD4.IL2,CRISPRi,11
38066,BCAT2,-0.0060126,0.002326603765941645,12,4,4,0.0048791,Prim.CRi.CD4.IL2,CRISPRi,8
38067,MTOR,-0.009602,0.0037177208276658246,12,5,1,0.0049006,Prim.CRi.CD4.IL2,CRISPRi,6
38068,IGH,-0.14336,0.0555450728940238,12,5,3,0.0049262,Prim.CRi.CD4.IL2,CRISPRi,8
38069,CCR6,-0.36818,0.14265389628736352,12,8,1,0.0049267,Prim.CRi.CD4.IL2,CRISPRi,9
38070,DNAAF4,-0.1404,0.05439895442105991,12,5,2,0.0049267,Prim.CRi.CD4.IL2,CRISPRi,7
38071,NBPF9,-0.24838,0.09642150067311525,12,8,1,0.0049978,Prim.CRi.CD4.IL2,CRISPRi,9
38072,CREBBP,-0.25859,0.10038638649343201,12,7,0,0.0049983,Prim.CRi.CD4.IL2,CRISPRi,7
38073,SERPINF2,-0.348,0.1351169883023996,12,8,1,0.0050041,Prim.CRi.CD4.IL2,CRISPRi,9
38074,SKAP1,-0.20245,0.07860469621212873,12,6,1,0.0050041,Prim.CRi.CD4.IL2,CRISPRi,7
38075,CXCL13,-0.15489,0.06014790231296743,12,6,4,0.0050098,Prim.CRi.CD4.IL2,CRISPRi,10
38076,RELA,-0.27981,0.10891520791706118,12,6,1,0.0050987,Prim.CRi.CD4.IL2,CRISPRi,7
38077,FRMPD3,-0.2723,0.10611333665577179,12,8,2,0.0051421,Prim.CRi.CD4.IL2,CRISPRi,10
38078,RBMY1F,-0.2312,0.08740734442345274,8,4,2,0.0040835,Prim.CRi.CD4.IL2,CRISPRi,6
38079,TPMT,-0.34236,0.1336815722542643,12,8,0,0.0052184,Prim.CRi.CD4.IL2,CRISPRi,8
38080,OR4C12,-0.19202,0.07501188186560384,12,6,3,0.0052357,Prim.CRi.CD4.IL2,CRISPRi,9
38081,RABGAP1,-0.41328,0.16153573498116156,12,7,3,0.0052571,Prim.CRi.CD4.IL2,CRISPRi,10
38082,OR14A16,-0.12285,0.048046612750800057,12,4,1,0.0052806,Prim.CRi.CD4.IL2,CRISPRi,5
38083,EXOC4,-0.24732,0.09672680720820406,12,8,0,0.0052806,Prim.CRi.CD4.IL2,CRISPRi,8
38084,KCNK6,-0.093122,0.03643911669712577,12,5,3,0.005301,Prim.CRi.CD4.IL2,CRISPRi,8
38085,NOX1,-0.21504,0.0842757222877258,12,6,4,0.0053611,Prim.CRi.CD4.IL2,CRISPRi,10
