gene_name,chrom,tss,strand
EME2,chr16,1772810,+
SPSB3,chr16,1793700,-
SMYD4,chr17,1830634,-
ATP8B3,chr19,1812276,-
NUBP2,chr16,1782960,+
GNB1,chr1,1892292,-
MYT1L,chr2,2331664,-
IGFALS,chr16,1794971,-
CACNA2D4,chr12,1918652,-
FGFR3,chr4,1793293,+
HAGH,chr16,1827157,-
MRPL36,chr5,1801366,-
NDUFS6,chr5,1801407,+
LETM1,chr4,1856156,-
REXO1,chr19,1848483,-
MAD1L1,chr7,2233243,-
ENSG00000286192,chr7,2242215,-
LRTM2,chr12,1820267,+
ARHGEF10,chr8,1823926,+
FAHD1,chr16,1826967,+
SYT8,chr11,1828307,+
RPA1,chr17,1829702,+
MEIOB,chr16,1884294,-
TNNI2,chr11,1838981,+
LSP1,chr11,1850904,+
KLF16,chr19,1863579,-
NSD2,chr4,1871393,+
ABHD17A,chr19,1885496,-
IRX4,chr5,1887236,-
PRR33,chr11,1891895,-
SIRPA,chr20,1894167,+
SCAMP4,chr19,1905214,+
ADAT3,chr19,1905399,+
HS3ST6,chr16,1918415,-
CALML6,chr1,1915108,+
TMEM52,chr1,1919279,-
TNNT3,chr11,1919703,+
CFAP74,chr1,2003837,-
RTN4RL1,chr17,2025334,-
MSRB1,chr16,1943199,-
CSNK1G2,chr19,1941172,+
RPL3L,chr16,1957606,-
DCP1B,chr12,2004535,-
MRPL23,chr11,1947278,+
NDUFB10,chr16,1959538,+
RPS2,chr16,1964841,-
RNF151,chr16,1966823,+
CACNA1C,chr12,1970772,+
TBL3,chr16,1972053,+
KBTBD11,chr8,1973677,+
PDYN,chr20,1994285,-
NOXO1,chr16,1984192,-
SMARCA2,chr9,1980290,+
NELFA,chr4,2041903,-
GFER,chr16,1984193,+
BTBD2,chr19,2034881,-
SYNGR3,chr16,1989660,+
ZNF598,chr16,2009821,-
NPW,chr16,2009926,+
GABRD,chr1,2019329,+
NHERF2,chr16,2025356,+
DPH1,chr17,2030137,+
MKNK2,chr19,2051244,-
NTHL1,chr16,2047866,-
NICOL1,chr4,2041995,+
OVCA2,chr17,2042022,+
MYOM2,chr8,2045046,+
TSC2,chr16,2047977,+
PRKCZ,chr1,2050411,+
HIC1,chr17,2054154,+
NAT8L,chr4,2059327,+
SMG6,chr17,2303785,-
MOB3A,chr19,2096673,-
POLN,chr4,2242121,-
ENSG00000290263,chr4,2242276,-
PKD1,chr16,2135898,-
IZUMO4,chr19,2096915,+
CNTN4,chr3,2098813,+
AP3D1,chr19,2164468,-
STK35,chr20,2101827,+
IGF2,chr11,2158391,-
ENSG00000284779,chr11,2149603,-
INS-IGF2,chr11,2161209,-
RAB26,chr16,2148144,+
TRAF7,chr16,2155698,+
INS,chr11,2161221,-
TH,chr11,2171815,-
DOT1L,chr19,2163933,+
CASKIN1,chr16,2196605,-
FAAP20,chr1,2212720,-
MLST8,chr16,2204248,+
ENSG00000286022,chr20,2207328,+
BRICD5,chr16,2210905,-
PGP,chr16,2214840,-
DHRSX,chrX,2502805,-
E4F1,chr16,2223580,+
SKI,chr1,2227388,+
HAUS3,chr4,2242133,-
PLEKHJ1,chr19,2237704,-
MRM2,chr7,2242205,-
DNASE1L2,chr16,2235816,+
SF3A2,chr19,2236824,+
ECI1,chr16,2252300,-
NUDT1,chr7,2242226,+
MXD4,chr4,2262109,-
AMH,chr19,2249309,+
SNX8,chr7,2354318,-
JSRP1,chr19,2269759,-
RNPS1,chr16,2268397,-
ASCL2,chr11,2270588,-
OAZ1,chr19,2269520,+
ENSG00000273734,chr19,2269525,+
ZFYVE28,chr4,2418651,-
PEAK3,chr19,2282175,-
ABCA3,chr16,2340746,-
LINGO3,chr19,2308154,-
C11orf21,chr11,2303049,-
TGM3,chr20,2296001,+
TSPAN32,chr11,2302013,+
SRR,chr17,2303383,+
MORN1,chr1,2391707,-
LSM7,chr19,2328611,-
TSR1,chr17,2336457,-
SPPL2B,chr19,2328615,+
SGSM2,chr17,2337501,+
EIF3B,chr7,2354086,+
TMPRSS9,chr19,2360238,+
CD81,chr11,2376177,+
TGM6,chr20,2380901,+
MNT,chr17,2401104,-
RER1,chr1,2391775,+
TSSC4,chr11,2400488,+
CHST12,chr7,2403588,+
PEX10,chr1,2413797,-
TRPM5,chr11,2444514,-
METTL16,chr17,2511891,-
CFAP99,chr4,2418955,+
TIMM13,chr19,2427586,-
PLCH2,chr1,2425980,+
LMNB2,chr19,2456959,-
CCNF,chr16,2429447,+
KCNQ1,chr11,2444654,+
TEDC2,chr16,2460086,+
SNRPB,chr20,2470853,-
RNF4,chr4,2462220,+
ENSG00000256566,chr20,2508907,-
NTN3,chr16,2471297,+
GRIFIN,chr7,2476398,-
TBC1D24,chr16,2475051,+
GADD45B,chr19,2476127,+
ZNF343,chr20,2524702,-
ZBED1,chrX,2500976,-
ENSG00000260272,chr16,2496032,+
PANK4,chr1,2526596,-
GNG7,chr19,2702694,-
ENSG00000290180,chr4,2512477,+
LFNG,chr7,2512529,+
ATP6V0C,chr16,2513952,+
ENSG00000259784,chr16,2513965,+
AMDHD2,chr16,2520357,+
HES5,chr1,2530263,-
CEMP1,chr16,2531417,-
TMC2,chr20,2536573,+
FAM193A,chr4,2536647,+
METTL4,chr18,2571509,-
BRAT1,chr7,2555524,-
PDPK1,chr16,2537979,+
TNFRSF14,chr1,2555639,+
IQCE,chr7,2558972,+
NDC80,chr18,2571557,+
PRXL2B,chr1,2586491,+
MMEL1,chr1,2633016,-
PAFAH1B1,chr17,2593183,+
VLDLR,chr9,2621182,+
TTYH3,chr7,2631961,+
TTC34,chr1,2801693,-
NOP56,chr20,2652632,+
SMCHD1,chr18,2655726,+
IDH3B,chr20,2664219,-
MYLK4,chr6,2770330,-
AMZ1,chr7,2679522,+
KCTD5,chr16,2682523,+
CLUH,chr17,2712663,-
CD99,chrX,2691187,+
EBF4,chr20,2692780,+
PRSS27,chr16,2720224,-
DIRAS1,chr19,2721372,-
KCNV2,chr9,2717510,+
ENSG00000267001,chr19,2740048,-
PUM3,chr9,2844095,-
CCDC92B,chr17,2749652,-
GNA12,chr7,2870786,-
SLC39A3,chr19,2740028,-
TNIP2,chr4,2756342,-
IRX2,chr5,2751677,-
XG,chrX,2752040,+
SRRM2,chr16,2752626,+
SGTA,chr19,2783327,-
RAP1GAP2,chr17,2755705,+
WRNIP1,chr6,2765393,+
ELOB,chr16,2777289,-
PRSS33,chr16,2787948,-
THOP1,chr19,2785503,+
SRY,chrY,2787682,-
SH3BP2,chr4,2793023,+
CPXM1,chr20,2800627,-
FKBP4,chr12,2794970,+
PRSS41,chr16,2798470,+
ITFG2,chr12,2812668,+
ENSG00000241690,chr20,2814968,+
C20orf141,chr20,2814987,+
TMEM239,chr20,2816302,+
PRSS21,chr16,2817180,+
ZNF554,chr19,2819868,+
NRIP2,chr12,2835544,-
GYG2,chrX,2828822,+
ZG16B,chr16,2830253,+
SERPINB1,chr6,2841959,-
PCED1A,chr20,2841190,-
VPS16,chr20,2840703,+
ZNF555,chr19,2841437,+
RPS4Y1,chrY,2841602,+
ADD1,chr4,2843844,+
EMILIN2,chr18,2847006,+
TEX52,chr12,2857039,-
PRSS22,chr16,2858170,-
FOXM1,chr12,2877174,-
ZNF556,chr19,2867335,+
PTPRA,chr20,2873420,+
RHNO1,chr12,2876258,+
TULP3,chr12,2890887,+
CDKN1C,chr11,2885775,-
FLYWCH2,chr16,2883213,+
LPIN2,chr18,3013144,-
SERPINB9,chr6,2903309,-
SLC22A18,chr11,2899721,+
ZNF57,chr19,2900928,+
ARSD,chrX,2929349,-
CARD11,chr7,3043867,-
FLYWCH1,chr16,2911931,+
PHLDA2,chr11,2929420,-
MFSD10,chr4,2934834,-
ZNF77,chr19,2944971,-
ARSL,chrX,2968475,-
ZFY,chrY,2935281,+
CSMD1,chr8,4994972,-
NOP14,chr4,2963406,-
NAP1L4,chr11,2992377,-
SERPINB6,chr6,2972165,-
TEAD4,chr12,2959330,+
GRK4,chr4,2963571,+
KREMEN2,chr16,2964216,+
PKMYT1,chr16,2980479,-
PAQR4,chr16,2969270,+
TLE6,chr19,2977538,+
NQO2,chr6,2987987,+
GREP1,chr16,2988256,+
TLE2,chr19,3047635,-
CARS1,chr11,3057613,-
ENSG00000289281,chr16,3004132,+
ARSH,chrX,3006546,+
CLDN9,chr16,3012923,+
CLDN6,chr16,3020071,-
TNFRSF12A,chr16,3018445,+
ACTRT2,chr1,3021467,+
HCFC1R1,chr16,3024286,-
THOC6,chr16,3024035,+
BICDL2,chr16,3036944,-
HTT,chr4,3041363,+
ARSF,chrX,3041471,+
GNRH2,chr20,3043622,+
MRPS26,chr20,3046052,+
MMP25,chr16,3046561,+
TLE5,chr19,3063107,-
OR1D5,chr17,3063607,-
RIPK1,chr6,3063862,+
IL32,chr16,3065297,+
IL5RA,chr3,3126613,-
PFKP,chr10,3066333,+
MYOM1,chr18,3219968,-
PRDM16,chr1,3069168,+
OXT,chr20,3071620,+
TSPAN9,chr12,3077355,+
AVP,chr20,3084724,-
OSBPL5,chr11,3165770,-
OR1D2,chr17,3104422,-
ZSCAN10,chr16,3099295,-
GNA11,chr19,3094362,+
UBOX5,chr20,3160196,-
ZNF205,chr16,3112560,+
BPHL,chr6,3118374,+
OR1G1,chr17,3127551,-
TRNT1,chr3,3126933,+
ZNF213,chr16,3129777,+
GNA15,chr19,3136033,+
PITRM1,chr10,3172841,-
CRBN,chr3,3179727,-
FASTKD5,chr20,3159865,-
TUBB2A,chr6,3157544,-
OR1P1,chr17,3154882,-
LZTS3,chr20,3173549,-
S1PR4,chr19,3172346,+
NCLN,chr19,3185563,+
OR1F1,chr16,3188204,+
EIPR1,chr2,3377830,-
DDRGK1,chr20,3204685,-
OR1A2,chr17,3197519,+
OR1A1,chr17,3207539,+
ITPA,chr20,3208868,+
MRGPRG,chr11,3218813,-
RFX3,chr9,3526004,-
ZNF200,chr16,3236221,-
TUBB2B,chr6,3231730,-
CELF5,chr19,3224661,+
MRGPRE,chr11,3232417,-
SLC4A11,chr20,3239559,-
PSMG4,chr6,3231807,+
MEFV,chr16,3256633,-
MSANTD1,chr4,3244369,+
MYL12A,chr18,3247481,+
DNAAF9,chr20,3407669,-
MYL12B,chr18,3261479,+
ZNF263,chr16,3263800,+
SLC22A23,chr6,3457050,-
OR3A2,chr17,3386317,-
OR3A1,chr17,3298360,-
RGS12,chr4,3293021,+
TIGD7,chr16,3305729,-
SDK1,chr7,3301252,+
ZNF75A,chr16,3305472,+
MXRA5,chrX,3346652,-
NFIC,chr19,3314403,+
ZNF195,chr11,3379222,-
OR2C1,chr16,3355889,+
ENSG00000285329,chr16,3365099,+
TRAPPC12,chr2,3379675,+
PRMT8,chr12,3381349,+
ZSCAN32,chr16,3401065,-
OR1R1P,chr17,3385930,+
OR1E1,chr17,3398410,-
ZNF174,chr16,3401215,+
OR3A3,chr17,3411370,+
TGIF1,chr18,3411608,+
ZNF597,chr16,3443504,-
OR1E2,chr17,3433841,-
SPATA22,chr17,3513852,-
HGFAC,chr4,3441968,+
NAA60,chr16,3443649,+
ARHGEF16,chr1,3454665,+
DOK7,chr4,3463306,+
ATRN,chr20,3471018,+
ASPA,chr17,3472374,+
SMIM24,chr19,3480525,-
SMIM44,chr19,3483441,-
MEGF6,chr1,3611508,-
DOHH,chr19,3500674,-
C16orf90,chr16,3495489,-
DLGAP1,chr18,4455307,-
ADI1,chr2,3519531,-
CLUAP1,chr16,3500981,+
LRPAP1,chr4,3532446,-
FZR1,chr19,3506311,+
TRPV3,chr17,3557812,-
ENSG00000286905,chr2,3558333,-
MFSD12,chr19,3574290,-
NLRC3,chr16,3577403,-
TEKTIP1,chr19,3539171,+
RNASEH1,chr2,3558333,-
TRPV1,chr17,3609411,-
HMG20B,chr19,3572777,+
RPS7,chr2,3575260,+
TGIF2LY,chrY,3579067,+
SLX4,chr16,3611606,-
ENSG00000262304,chr17,3636249,-
GIPC3,chr19,3585478,+
TBXA2R,chr19,3606875,-
COLEC11,chr2,3594832,+
IRX1,chr5,3595832,+
PRKX,chrX,3713649,-
CRACR2A,chr12,3764819,-
SHPK,chr17,3636250,-
CACTIN,chr19,3626815,-
DNASE1,chr16,3642938,+
TPRG1L,chr1,3625015,+
PIP5K1C,chr19,3700468,-
WRAP73,chr1,3652761,-
CTNS,chr17,3636459,+
ART5,chr11,3642316,-
ART1,chr11,3645128,+
TRAP1,chr16,3717553,-
TP73,chr1,3652516,+
ALLC,chr2,3658200,+
GFRA4,chr20,3663399,-
TAX1BP3,chr17,3668679,-
P2RX5-TAX1BP3,chr17,3696194,-
CHRNA10,chr11,3671384,-
ADAM33,chr20,3682246,-
EMC6,chr17,3668812,+
NUP98,chr11,3797792,-
P2RX5,chr17,3696216,-
SIGLEC1,chr20,3712600,-
SUMF1,chr3,4467273,-
DCDC2C,chr2,3703575,+
TJP3,chr19,3708362,+
ITGAE,chr17,3801188,-
PXDC1,chr6,3751713,-
HASPIN,chr17,3723903,+
CREBBP,chr16,3880713,-
HSPA12B,chr20,3732685,+
